Longitude,Latitude,Confidence
-60.71468,-32.51768,nominal
-60.72053,-32.51604,nominal
-60.70639,-32.51320,nominal
-60.71223,-32.51155,high
-60.71808,-32.50991,nominal
-60.72392,-32.50826,nominal
-60.70978,-32.50542,high
-60.71562,-32.50378,nominal
-60.72147,-32.50213,nominal
-60.72730,-32.50048,nominal
-60.72227,-32.50221,high
-60.70986,-32.50310,nominal
-60.70572,-32.50340,nominal
-60.72639,-32.50191,nominal
-60.71814,-32.50250,nominal
-60.72281,-32.50770,nominal
-60.71040,-32.50859,nominal
-60.70626,-32.50889,nominal
-60.71867,-32.50800,nominal
-60.71922,-32.51349,nominal
-60.71508,-32.51379,nominal
-60.71095,-32.51409,nominal
-60.70681,-32.51439,nominal
-60.71562,-32.51928,nominal
-60.72400,-32.50246,high
-60.71987,-32.50272,nominal
-60.70745,-32.50354,high
-60.71573,-32.50299,nominal
-60.70331,-32.50381,nominal
-60.72043,-32.50822,nominal
-60.70801,-32.50903,high
-60.72456,-32.50795,nominal
-60.71629,-32.50849,nominal
-60.70387,-32.50931,nominal
-60.71685,-32.51398,nominal
-60.71271,-32.51426,nominal
-60.70856,-32.51453,nominal
-60.72099,-32.51371,nominal
-60.71740,-32.51948,nominal
-60.70837,-32.52177,nominal
-60.71423,-32.52294,nominal
-60.72008,-32.52411,nominal
-60.72116,-32.52020,nominal
-60.70464,-32.51279,nominal
-60.72808,-32.51746,nominal
-60.69985,-32.50770,nominal
-60.70092,-32.50379,nominal
-60.73022,-32.50966,nominal
-60.74300,-32.50810,nominal
-60.74883,-32.50927,nominal
-60.74406,-32.50420,nominal
-60.74513,-32.50030,nominal
-60.28276,-33.25664,nominal
-60.28806,-33.25516,nominal
-60.28366,-33.25765,nominal
-60.28900,-33.25620,nominal
-60.28711,-33.25373,nominal
-60.28777,-33.25939,nominal
-60.32934,-33.19259,nominal
-60.33472,-33.19110,nominal
-60.32094,-33.18323,nominal
-60.31995,-33.18896,nominal
-60.32077,-33.05894,nominal
-60.32680,-33.06017,nominal
-60.32179,-33.06196,low
-60.32782,-33.06315,low
-60.32290,-33.05801,nominal
-60.26500,-32.90389,high
-60.25890,-32.90266,nominal
-60.26001,-32.89870,nominal
-60.26611,-32.89992,nominal
-60.17173,-33.28760,nominal
-60.15597,-33.29198,nominal
-60.16121,-33.29053,high
-60.15364,-33.28612,nominal
-60.16416,-33.28319,nominal
-60.17465,-33.28027,nominal
-60.15889,-33.28466,nominal
-60.16939,-33.28173,nominal
-60.19045,-33.27586,high
-60.19571,-33.27439,nominal
-60.19866,-33.26704,nominal
-60.03453,-33.30628,nominal
-60.18578,-33.26411,nominal
-60.03223,-33.30045,nominal
-60.17292,-33.26118,nominal
-60.18872,-33.25676,nominal
-60.03740,-33.29902,nominal
-60.17818,-33.25970,nominal
-60.18345,-33.25823,high
-60.15882,-33.29813,nominal
-60.16411,-33.29670,nominal
-60.16701,-33.28941,nominal
-60.17228,-33.28798,nominal
-60.15647,-33.29228,nominal
-60.16174,-33.29085,high
-60.15410,-33.28642,nominal
-60.16467,-33.28354,nominal
-60.15939,-33.28498,high
-60.16992,-33.28212,nominal
-60.17520,-33.28068,nominal
-60.19104,-33.27636,high
-60.19633,-33.27492,nominal
-60.19929,-33.26760,nominal
-60.19399,-33.26905,high
-60.03458,-33.30594,nominal
-60.03977,-33.30453,nominal
-60.18634,-33.26462,nominal
-60.03226,-33.30012,nominal
-60.16287,-33.26451,nominal
-60.17342,-33.26163,nominal
-60.18928,-33.25729,nominal
-60.03744,-33.29871,nominal
-60.17870,-33.26019,nominal
-60.18399,-33.25874,nominal
-60.16054,-33.25864,nominal
-60.16579,-33.25720,nominal
-60.03511,-33.29288,nominal
-60.04030,-33.29147,nominal
-60.17637,-33.25431,nominal
-60.18164,-33.25287,nominal
-60.18692,-33.25142,nominal
-60.03798,-33.28564,nominal
-60.04316,-33.28422,nominal
-60.04835,-33.28281,high
-60.15819,-33.25278,nominal
-60.02531,-33.28263,nominal
-60.04084,-33.27839,nominal
-60.04602,-33.27697,nominal
-60.05120,-33.27556,nominal
-60.03852,-33.27256,nominal
-60.04370,-33.27114,nominal
-60.04139,-33.26530,nominal
-60.03156,-33.25506,nominal
-60.16345,-33.25134,nominal
-60.14928,-33.37833,nominal
-60.14695,-33.37247,nominal
-60.16273,-33.36816,nominal
-60.15217,-33.37105,nominal
-60.15831,-33.29784,nominal
-60.16356,-33.29639,nominal
-60.16647,-33.28907,nominal
-60.02928,-33.25280,nominal
-60.02980,-33.25855,nominal
-60.18233,-33.25473,nominal
-60.15950,-33.25618,nominal
-60.15495,-33.25647,nominal
-60.18286,-33.26044,nominal
-60.17830,-33.26073,nominal
-60.17374,-33.26102,nominal
-60.16003,-33.26189,nominal
-60.04013,-33.26947,nominal
-60.18742,-33.26015,nominal
-60.04479,-33.26918,nominal
-60.04530,-33.27494,high
-60.04065,-33.27523,nominal
-60.19249,-33.26556,nominal
-60.19301,-33.27126,high
-60.04581,-33.28069,high
-60.04117,-33.28098,nominal
-60.19756,-33.27096,nominal
-60.18845,-33.27155,nominal
-60.05046,-33.28039,nominal
-60.18896,-33.27725,nominal
-60.04633,-33.28643,high
-60.19353,-33.27695,nominal
-60.05097,-33.28614,nominal
-60.04167,-33.28673,nominal
-60.03702,-33.28703,nominal
-60.17124,-33.28415,nominal
-60.15753,-33.28503,nominal
-60.03753,-33.29278,nominal
-60.16667,-33.28444,nominal
-60.16210,-33.28474,nominal
-60.15296,-33.28533,nominal
-60.03288,-33.29308,nominal
-60.16261,-33.29045,nominal
-60.15805,-33.29075,high
-60.15348,-33.29105,nominal
-60.03339,-33.29883,nominal
-60.15856,-33.29647,high
-60.03389,-33.30458,nominal
-60.04607,-33.27486,nominal
-60.04140,-33.27513,nominal
-60.19347,-33.26638,nominal
-60.19400,-33.27208,high
-60.18944,-33.27235,nominal
-60.04659,-33.28062,nominal
-60.04194,-33.28088,nominal
-60.18998,-33.27805,nominal
-60.04712,-33.28637,high
-60.04247,-33.28663,nominal
-60.03782,-33.28690,nominal
-60.17223,-33.28483,nominal
-60.16765,-33.28510,nominal
-60.15848,-33.28564,nominal
-60.03834,-33.29266,nominal
-60.03368,-33.29293,nominal
-60.16307,-33.28538,nominal
-60.15391,-33.28591,nominal
-60.16360,-33.29109,nominal
-60.15901,-33.29136,high
-60.15444,-33.29163,nominal
-60.03421,-33.29868,nominal
-60.15954,-33.29707,nominal
-60.03473,-33.30443,nominal
-60.15494,-33.29735,nominal
-60.14713,-33.36108,nominal
-60.16151,-33.36593,nominal
-60.15693,-33.36622,nominal
-60.14771,-33.36680,nominal
-60.14883,-33.37824,nominal
-60.14423,-33.37853,nominal
-60.14725,-33.37389,nominal
-60.14779,-33.37961,nominal
-60.14850,-33.37739,nominal
-60.04052,-33.30077,nominal
-60.04464,-33.30161,nominal
-60.04990,-33.29846,high
-60.04166,-33.29679,nominal
-60.04578,-33.29762,low
-60.04692,-33.29364,high
-60.05104,-33.29448,nominal
-60.05515,-33.29531,nominal
-60.05629,-33.29133,nominal
-60.05217,-33.29050,low
-60.05330,-33.28652,nominal
-60.05032,-33.28170,nominal
-60.05444,-33.28254,nominal
-60.05856,-33.28337,low
-60.14665,-33.29701,high
-60.05558,-33.27856,low
-60.06381,-33.28023,nominal
-60.06791,-33.28107,nominal
-60.05970,-33.27940,low
-60.14777,-33.29305,high
-60.15388,-33.29428,nominal
-60.14891,-33.28909,nominal
-60.16111,-33.29156,nominal
-60.03012,-33.26074,nominal
-60.05074,-33.26494,nominal
-60.05486,-33.26578,low
-60.15003,-33.28513,nominal
-60.16832,-33.28884,nominal
-60.02825,-33.25192,nominal
-60.03238,-33.25277,nominal
-60.03651,-33.25361,nominal
-60.18832,-33.26363,nominal
-60.18944,-33.25967,nominal
-60.23632,-33.25256,nominal
-60.18652,-33.25388,nominal
-60.23738,-33.25564,nominal
-60.02823,-33.24129,nominal
-60.02874,-33.24705,nominal
-60.02938,-33.24793,nominal
-60.03350,-33.24878,nominal
-60.18671,-33.24656,nominal
-60.19279,-33.24781,nominal
