Dates,NI
2020-06-03,34
2020-06-04,17
2020-06-05,1
2020-06-06,0
2020-06-07,0
2020-06-08,14
2020-06-09,18
2020-06-10,52
2020-06-11,44
2020-06-12,37
2020-06-13,163
2020-06-14,214
2020-06-15,32
2020-06-16,213
2020-06-17,1
2020-06-18,0
2020-06-19,5
2020-06-20,1
2020-06-21,2
2020-06-22,8
2020-06-23,0
2020-06-24,0
2020-06-25,7
2020-06-26,2
2020-06-27,26
2020-06-28,25
2020-06-29,10
2020-06-30,0
2020-07-01,5
2020-07-02,16
2020-07-03,31
2020-07-04,12
2020-07-05,34
2020-07-06,26
2020-07-07,1
2020-07-08,16
2020-07-09,55
2020-07-10,30
2020-07-11,75
2020-07-12,154
2020-07-13,137
2020-07-14,173
2020-07-15,300
2020-07-16,277
2020-07-17,220
2020-07-18,141
2020-07-19,356
2020-07-20,24
2020-07-21,0
2020-07-22,0
2020-07-23,0
2020-07-24,1
2020-07-25,17
2020-07-26,118
2020-07-27,119
2020-07-28,282
2020-07-29,240
2020-07-30,234
2020-07-31,347
2020-08-01,252
2020-08-02,184
2020-08-03,271
2020-08-04,302
2020-08-05,202
2020-08-06,379
2020-08-07,2
2020-08-08,0
2020-08-09,8
2020-08-10,52
2020-08-11,171
2020-08-12,336
2020-08-13,180
2020-08-14,91
2020-08-15,137
2020-08-16,224
2020-08-17,159
2020-08-18,188
2020-08-19,157
2020-08-20,265
2020-08-21,313
2020-08-22,521
2020-08-23,471
2020-08-24,388
2020-08-25,189
2020-08-26,187
2020-08-27,59
2020-08-28,108
2020-08-29,15
2020-08-30,61
2020-08-31,0
2020-09-01,0
2020-09-02,0
2020-09-03,0
2020-09-04,7
2020-09-05,14
2020-09-06,9
2020-09-07,15
2020-09-08,22
2020-09-09,13
2020-09-10,18
2020-09-11,17
2020-09-12,19
2020-09-13,85
2020-09-14,267
2020-09-15,38
2020-09-16,59
2020-09-17,97
2020-09-18,253
2020-09-19,176
2020-09-20,154
2020-09-21,135
2020-09-22,159
2020-09-23,124
2020-09-24,187
2020-09-25,35
2020-09-26,23
2020-09-27,29
2020-09-28,215
