latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
65.86971,-148.48201,295.7,0.66,0.73,2020-04-23,15:24,N,nominal,1.0NRT,257.6,0.3,N
65.80379,-148.62949,295.3,0.66,0.73,2020-04-23,15:24,N,nominal,1.0NRT,257.4,0.9,N
65.79473,-148.63669,295.2,0.66,0.73,2020-04-23,15:24,N,nominal,1.0NRT,256.9,0.9,N
65.77894,-148.61592,295.7,0.66,0.73,2020-04-23,15:24,N,nominal,1.0NRT,257.4,0.9,N
65.80336,-148.86162,296.2,0.66,0.73,2020-04-23,15:24,N,nominal,1.0NRT,257.1,0.4,N
65.83401,-148.92163,295.6,0.65,0.73,2020-04-23,15:24,N,nominal,1.0NRT,256.4,0.4,N
65.80137,-148.87808,295.2,0.66,0.73,2020-04-23,15:24,N,nominal,1.0NRT,254.9,0.4,N
65.70702,-149.14287,296.1,0.66,0.73,2020-04-23,15:24,N,nominal,1.0NRT,256.7,0.4,N
65.66748,-149.24266,295.2,0.66,0.73,2020-04-23,15:24,N,nominal,1.0NRT,256.9,0.7,N
65.68607,-149.28685,295.3,0.66,0.73,2020-04-23,15:24,N,nominal,1.0NRT,259.7,0.5,N
65.77106,-149.42114,295.1,0.65,0.73,2020-04-23,15:24,N,nominal,1.0NRT,257.9,0.5,N
65.68447,-149.36119,295.5,0.66,0.73,2020-04-23,15:24,N,nominal,1.0NRT,255,0.4,N
65.67908,-149.35393,298.5,0.66,0.73,2020-04-23,15:24,N,nominal,1.0NRT,255,0.6,N
65.6832,-149.69676,297,0.65,0.73,2020-04-23,15:24,N,nominal,1.0NRT,256.7,0.8,N
65.66043,-150.06647,296.3,0.65,0.73,2020-04-23,15:24,N,nominal,1.0NRT,256.2,0.3,N
66.40224,-146.35045,295.1,0.65,0.73,2020-04-23,15:24,N,nominal,1.0NRT,257.8,0.6,N
66.35655,-141.31483,295.3,0.74,0.76,2020-04-23,15:24,N,nominal,1.0NRT,256.2,1.6,N
66.25193,-141.78047,295.3,0.74,0.76,2020-04-23,15:24,N,nominal,1.0NRT,258.2,1.5,N
66.25574,-141.80356,295.4,0.74,0.76,2020-04-23,15:24,N,nominal,1.0NRT,255.9,0.7,N
66.25301,-141.82011,296.9,0.74,0.76,2020-04-23,15:24,N,nominal,1.0NRT,256.6,0.7,N
66.26434,-141.98547,296.3,0.74,0.76,2020-04-23,15:24,N,nominal,1.0NRT,258.6,0.8,N
66.25791,-141.97905,295.7,0.74,0.76,2020-04-23,15:24,N,nominal,1.0NRT,257.9,0.8,N
66.16225,-142.1255,296.3,0.75,0.77,2020-04-23,15:24,N,nominal,1.0NRT,256.8,0.9,N
66.13462,-142.27112,297.2,0.75,0.77,2020-04-23,15:24,N,nominal,1.0NRT,256.7,1,N
66.1824,-142.46364,295.3,0.74,0.76,2020-04-23,15:24,N,nominal,1.0NRT,259.4,1,N
66.14427,-142.52106,295.5,0.74,0.76,2020-04-23,15:24,N,nominal,1.0NRT,258.4,1.4,N
66.18707,-142.66063,296.5,0.73,0.76,2020-04-23,15:24,N,nominal,1.0NRT,255.9,1.5,N
