latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-45.99543,169.68121,336.4,0.35,0.57,2020-05-07,01:48,N,nominal,1.0NRT,287.2,2.5,D
-38.00117,176.88782,332.7,0.42,0.38,2020-05-07,01:48,N,nominal,1.0NRT,289,5.2,D
-38.52764,178.19695,325.2,0.4,0.37,2020-05-07,01:48,N,nominal,1.0NRT,291.4,2.4,D
-40.34161,176.16037,328.6,0.47,0.39,2020-05-07,01:48,N,nominal,1.0NRT,286.7,5.2,D
-43.37066,172.45831,340.6,0.49,0.48,2020-05-07,01:48,N,nominal,1.0NRT,291.6,5.2,D
-43.39032,172.3799,330.5,0.49,0.49,2020-05-07,01:48,N,nominal,1.0NRT,289.5,3.4,D
-45.794,169.35258,326,0.36,0.57,2020-05-07,01:48,N,nominal,1.0NRT,286.5,1.9,D
-45.99269,169.68246,335.2,0.35,0.57,2020-05-07,01:48,N,nominal,1.0NRT,287,4.3,D
-35.7233,147.74135,354.4,0.56,0.43,2020-05-07,03:30,N,nominal,1.0NRT,293.4,18.6,D
-35.72993,147.7166,328,0.56,0.43,2020-05-07,03:30,N,nominal,1.0NRT,291.2,4.5,D
-36.33566,142.3998,327.6,0.37,0.58,2020-05-07,03:30,N,nominal,1.0NRT,292.1,2.2,D
-36.42083,141.55565,329.6,0.41,0.61,2020-05-07,03:30,N,nominal,1.0NRT,291.9,3.6,D
-36.43249,141.55182,341.6,0.41,0.61,2020-05-07,03:30,N,nominal,1.0NRT,292.8,4.2,D
-36.42993,142.39429,352.3,0.37,0.58,2020-05-07,03:30,N,nominal,1.0NRT,293.4,3.7,D
-36.42968,142.39848,330.2,0.37,0.58,2020-05-07,03:30,N,nominal,1.0NRT,291.4,3.7,D
-36.42982,142.39618,352.8,0.37,0.58,2020-05-07,03:30,N,nominal,1.0NRT,293.2,5.7,D
-36.10201,147.47861,339.6,0.39,0.44,2020-05-07,03:30,N,nominal,1.0NRT,292.4,5.7,D
-36.64349,140.68651,356.2,0.46,0.63,2020-05-07,03:30,N,low,1.0NRT,289.7,63.4,D
-36.64974,140.6815,353.5,0.46,0.63,2020-05-07,03:30,N,nominal,1.0NRT,292.5,44,D
-36.64948,140.68686,367,0.46,0.63,2020-05-07,03:30,N,high,1.0NRT,308.7,63.4,D
-36.64532,140.68883,367,0.46,0.63,2020-05-07,03:30,N,high,1.0NRT,296.6,115.1,D
-36.65154,140.68382,336.3,0.46,0.63,2020-05-07,03:30,N,nominal,1.0NRT,289.2,6.7,D
-36.65131,140.68919,367,0.46,0.63,2020-05-07,03:30,N,high,1.0NRT,291.2,6.7,D
-36.83006,141.70142,333.6,0.4,0.6,2020-05-07,03:30,N,nominal,1.0NRT,292,3.2,D
-36.98289,141.42134,341.8,0.42,0.61,2020-05-07,03:30,N,nominal,1.0NRT,290.7,7.1,D
-37.16722,140.75003,335.5,0.46,0.63,2020-05-07,03:30,N,nominal,1.0NRT,291.5,3.8,D
-37.07589,142.56241,337.5,0.36,0.58,2020-05-07,03:30,N,nominal,1.0NRT,289.9,3.3,D
-37.75067,142.79367,347.7,0.36,0.57,2020-05-07,03:30,N,nominal,1.0NRT,288.5,4,D
-37.8872,142.12938,367,0.39,0.59,2020-05-07,03:30,N,high,1.0NRT,293.9,31.2,D
-37.89305,142.1252,350.3,0.39,0.59,2020-05-07,03:30,N,nominal,1.0NRT,294.4,21.7,D
-37.8928,142.12988,367,0.39,0.59,2020-05-07,03:30,N,high,1.0NRT,294.4,26.2,D
-38.09823,141.4967,346.1,0.42,0.61,2020-05-07,03:30,N,nominal,1.0NRT,289.5,6.6,D
-41.18715,147.65935,339.3,0.43,0.46,2020-05-07,03:30,N,nominal,1.0NRT,283,5.6,D
-42.21252,146.93854,338.7,0.48,0.48,2020-05-07,03:30,N,nominal,1.0NRT,288.5,9.1,D
-42.21204,146.94466,338.5,0.48,0.48,2020-05-07,03:30,N,nominal,1.0NRT,287.8,5.9,D
-42.32915,146.55148,343,0.5,0.49,2020-05-07,03:30,N,nominal,1.0NRT,295,62.1,D
-42.33376,146.5522,339.1,0.5,0.49,2020-05-07,03:30,N,nominal,1.0NRT,310.4,81.3,D
-42.33331,146.55826,330.6,0.5,0.49,2020-05-07,03:30,N,nominal,1.0NRT,285.4,34.1,D
-37.88744,142.12473,356.2,0.39,0.59,2020-05-07,03:30,N,low,1.0NRT,285.9,14.5,D
-35.68127,147.75461,328.9,0.56,0.43,2020-05-07,03:30,N,nominal,1.0NRT,288,11.5,D
-35.68062,147.761,354.3,0.56,0.43,2020-05-07,03:30,N,nominal,1.0NRT,292.5,11.5,D
-35.67997,147.76744,352,0.56,0.43,2020-05-07,03:30,N,nominal,1.0NRT,293.6,23.5,D
-35.68527,147.7552,345.7,0.56,0.43,2020-05-07,03:30,N,nominal,1.0NRT,291.4,18.2,D
-35.68462,147.7616,367,0.56,0.43,2020-05-07,03:30,N,high,1.0NRT,295.8,18.2,D
-35.68397,147.76802,367,0.56,0.43,2020-05-07,03:30,N,high,1.0NRT,296.1,22.6,D
-35.72397,147.73483,337.6,0.56,0.43,2020-05-07,03:30,N,nominal,1.0NRT,290.9,18.6,D
-15.82285,135.786,351.7,0.58,0.7,2020-05-07,03:36,N,nominal,1.0NRT,296.7,8.6,D
-16.90102,138.75725,336.4,0.38,0.59,2020-05-07,03:36,N,nominal,1.0NRT,296.4,5.8,D
-16.87349,138.75414,335.5,0.38,0.59,2020-05-07,03:36,N,nominal,1.0NRT,298.5,3.8,D
-16.87656,138.72453,345.9,0.39,0.59,2020-05-07,03:36,N,nominal,1.0NRT,298.1,5.7,D
-16.87694,138.72081,352.8,0.39,0.59,2020-05-07,03:36,N,nominal,1.0NRT,298.1,5.7,D
-16.87848,138.70595,343.8,0.39,0.59,2020-05-07,03:36,N,nominal,1.0NRT,298.9,5.9,D
-16.87142,138.7202,332.3,0.39,0.59,2020-05-07,03:36,N,nominal,1.0NRT,299.2,4.7,D
-16.87219,138.71275,347.2,0.39,0.59,2020-05-07,03:36,N,nominal,1.0NRT,299.2,7.8,D
-16.88922,138.54698,332.6,0.4,0.6,2020-05-07,03:36,N,nominal,1.0NRT,295.8,6.4,D
-16.86935,138.68607,332.2,0.39,0.59,2020-05-07,03:36,N,nominal,1.0NRT,299.3,4.6,D
-16.86382,138.68544,333.4,0.39,0.59,2020-05-07,03:36,N,nominal,1.0NRT,298.6,3.4,D
-16.8642,138.68172,332.3,0.39,0.59,2020-05-07,03:36,N,nominal,1.0NRT,298.9,3.4,D
-16.86458,138.67798,343.4,0.39,0.59,2020-05-07,03:36,N,nominal,1.0NRT,298.6,4,D
-16.86496,138.67422,345.5,0.39,0.59,2020-05-07,03:36,N,nominal,1.0NRT,298.5,4,D
-16.87348,138.754,335.3,0.38,0.59,2020-05-07,03:36,N,nominal,1.0NRT,298.4,3.1,D
-16.87676,138.72444,344.1,0.39,0.59,2020-05-07,03:36,N,nominal,1.0NRT,298.5,4.4,D
-16.87717,138.72075,356.1,0.39,0.59,2020-05-07,03:36,N,nominal,1.0NRT,298.4,4.4,D
-16.87882,138.70592,343.9,0.39,0.59,2020-05-07,03:36,N,nominal,1.0NRT,298.8,3.6,D
-16.87084,138.72755,330.5,0.39,0.59,2020-05-07,03:36,N,nominal,1.0NRT,297.7,5.8,D
-16.87165,138.72014,331.3,0.39,0.59,2020-05-07,03:36,N,nominal,1.0NRT,299.2,4.4,D
-16.87247,138.71272,348.9,0.39,0.59,2020-05-07,03:36,N,nominal,1.0NRT,299.5,8.6,D
-16.87288,138.70901,330.9,0.39,0.59,2020-05-07,03:36,N,nominal,1.0NRT,298.4,3.6,D
-16.8886,138.56628,330.4,0.4,0.6,2020-05-07,03:36,N,nominal,1.0NRT,294.5,2.1,D
-16.86982,138.6861,333.6,0.39,0.59,2020-05-07,03:36,N,nominal,1.0NRT,299.5,2.8,D
-16.86429,138.68549,334.4,0.39,0.59,2020-05-07,03:36,N,nominal,1.0NRT,298.5,2.8,D
-16.8647,138.68176,332.2,0.39,0.59,2020-05-07,03:36,N,nominal,1.0NRT,298.7,2.8,D
-16.8651,138.67802,342.6,0.39,0.59,2020-05-07,03:36,N,nominal,1.0NRT,298.8,4.8,D
-16.86551,138.67429,348.3,0.39,0.59,2020-05-07,03:36,N,nominal,1.0NRT,299,4.8,D
-16.85835,138.6886,330.2,0.39,0.59,2020-05-07,03:36,N,nominal,1.0NRT,298.8,10,D
-16.87353,138.54924,330.7,0.4,0.6,2020-05-07,03:36,N,nominal,1.0NRT,296.7,3,D
-16.87394,138.54544,333.5,0.4,0.6,2020-05-07,03:36,N,nominal,1.0NRT,295.3,3,D
-16.85323,138.68427,367,0.39,0.59,2020-05-07,03:36,N,high,1.0NRT,300.9,10.9,D
-16.85364,138.68054,367,0.39,0.59,2020-05-07,03:36,N,high,1.0NRT,300.2,10.9,D
-16.8573,138.64685,340.8,0.39,0.59,2020-05-07,03:36,N,nominal,1.0NRT,298.6,4.4,D
-16.85771,138.6431,332.8,0.39,0.59,2020-05-07,03:36,N,nominal,1.0NRT,298,4.4,D
-16.85812,138.63934,337,0.39,0.59,2020-05-07,03:36,N,nominal,1.0NRT,297.8,4.5,D
-16.86836,138.54482,335.5,0.4,0.6,2020-05-07,03:36,N,nominal,1.0NRT,296.5,3,D
-16.85257,138.63875,367,0.39,0.59,2020-05-07,03:36,N,high,1.0NRT,299.4,5.1,D
