latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
41.56581,-84.04444,329.5,0.41,0.37,2019-12-11,07:18,N,nominal,1.0NRT,267.1,2.7,N
41.64005,-87.1436,307.9,0.52,0.41,2019-12-11,07:18,N,nominal,1.0NRT,266.2,2.3,N
41.63622,-87.14433,328,0.52,0.41,2019-12-11,07:18,N,nominal,1.0NRT,269.2,8.6,N
41.36761,-84.92139,325.9,0.43,0.38,2019-12-11,07:18,N,nominal,1.0NRT,268.3,3.8,N
41.62859,-87.14581,295.6,0.52,0.41,2019-12-11,07:18,N,nominal,1.0NRT,264.2,1.4,N
40.75817,-81.43201,310.7,0.39,0.36,2019-12-11,07:18,N,nominal,1.0NRT,267.5,1.1,N
40.75489,-81.43294,326.5,0.39,0.36,2019-12-11,07:18,N,nominal,1.0NRT,267.6,2.1,N
40.75235,-81.43837,311.6,0.39,0.36,2019-12-11,07:18,N,nominal,1.0NRT,265.9,2.1,N
46.51973,-84.37404,330.6,0.46,0.39,2019-12-11,07:18,N,nominal,1.0NRT,266.6,7.3,N
46.51465,-84.39388,340.7,0.46,0.39,2019-12-11,07:18,N,nominal,1.0NRT,260.7,6.1,N
43.27253,-79.79456,340.8,0.39,0.36,2019-12-11,07:18,N,nominal,1.0NRT,272,5.6,N
43.27332,-79.79932,309.4,0.39,0.36,2019-12-11,07:18,N,nominal,1.0NRT,273.5,2.7,N
43.27083,-79.80512,312,0.39,0.36,2019-12-11,07:18,N,nominal,1.0NRT,272.7,1.3,N
43.26754,-79.80616,311,0.39,0.36,2019-12-11,07:18,N,nominal,1.0NRT,270.7,1.3,N
43.26675,-79.80141,302.7,0.39,0.36,2019-12-11,07:18,N,nominal,1.0NRT,268.7,1.3,N
43.26426,-79.8072,310.9,0.39,0.36,2019-12-11,07:18,N,nominal,1.0NRT,271.3,1.6,N
43.29033,-79.98385,295.7,0.39,0.36,2019-12-11,07:18,N,nominal,1.0NRT,267.6,1,N
43.26096,-79.80824,317,0.39,0.36,2019-12-11,07:18,N,nominal,1.0NRT,270.1,1.6,N
42.81646,-80.09515,301.2,0.39,0.36,2019-12-11,07:18,N,nominal,1.0NRT,268.1,0.8,N
42.80659,-80.09821,306,0.39,0.36,2019-12-11,07:18,N,nominal,1.0NRT,268.9,0.8,N
42.8058,-80.0935,298.2,0.39,0.36,2019-12-11,07:18,N,nominal,1.0NRT,268.9,0.8,N
42.80331,-80.09921,295.9,0.39,0.36,2019-12-11,07:18,N,nominal,1.0NRT,265.9,0.8,N
42.80252,-80.09451,302.8,0.39,0.36,2019-12-11,07:18,N,nominal,1.0NRT,269.5,0.8,N
42.30032,-83.17038,303.2,0.4,0.37,2019-12-11,07:18,N,nominal,1.0NRT,264.7,1.2,N
42.29296,-83.1673,301.2,0.4,0.37,2019-12-11,07:18,N,nominal,1.0NRT,267.6,1.1,N
42.28155,-83.11069,339.9,0.4,0.37,2019-12-11,07:18,N,nominal,1.0NRT,272.2,3.2,N
42.27689,-83.12676,299.2,0.4,0.37,2019-12-11,07:18,N,nominal,1.0NRT,267.6,1,N
