latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
18.93182,-70.35513,302.2,0.56,0.52,2020-01-28,05:42,N,nominal,1.0NRT,289.8,1.1,N
18.95542,-72.0742,308.8,0.36,0.58,2020-01-28,05:42,N,nominal,1.0NRT,287.5,0.7,N
18.95582,-72.07802,302.9,0.36,0.58,2020-01-28,05:42,N,nominal,1.0NRT,287.5,0.7,N
18.97882,-72.19399,306.7,0.37,0.58,2020-01-28,05:42,N,nominal,1.0NRT,288.4,0.7,N
18.98397,-72.19108,300.9,0.37,0.58,2020-01-28,05:42,N,nominal,1.0NRT,287.7,0.7,N
19.09711,-72.36401,300.6,0.38,0.59,2020-01-28,05:42,N,nominal,1.0NRT,288.6,0.3,N
18.92729,-70.35619,315.2,0.56,0.52,2020-01-28,05:42,N,nominal,1.0NRT,289.9,6.1,N
18.92664,-70.35062,338.3,0.56,0.51,2020-01-28,05:42,N,nominal,1.0NRT,290.8,5.8,N
18.92641,-70.34986,311.5,0.56,0.52,2020-01-28,05:42,N,nominal,1.0NRT,289.7,6.1,N
18.92702,-70.35545,339.2,0.56,0.52,2020-01-28,05:42,N,nominal,1.0NRT,290.7,6.1,N
8.03387,-72.41743,306,0.55,0.51,2020-01-28,05:48,N,nominal,1.0NRT,290.8,1.8,N
7.34508,-67.26538,304.7,0.41,0.37,2020-01-28,05:48,N,nominal,1.0NRT,291.8,0.7,N
7.21391,-66.31467,307.7,0.39,0.36,2020-01-28,05:48,N,nominal,1.0NRT,295.7,0.8,N
7.21726,-66.31416,305.6,0.39,0.36,2020-01-28,05:48,N,nominal,1.0NRT,294.8,0.8,N
7.66963,-69.2561,318.3,0.51,0.41,2020-01-28,05:48,N,nominal,1.0NRT,293.3,3,N
7.26308,-66.23446,322.3,0.39,0.36,2020-01-28,05:48,N,nominal,1.0NRT,295.1,2.8,N
8.18404,-71.41851,301.7,0.47,0.48,2020-01-28,05:48,N,nominal,1.0NRT,286.2,0.8,N
7.84848,-67.40842,304.9,0.42,0.38,2020-01-28,05:48,N,nominal,1.0NRT,293.5,0.6,N
8.09942,-69.08804,305,0.51,0.41,2020-01-28,05:48,N,nominal,1.0NRT,292.1,1.1,N
7.41361,-64.41396,327.3,0.39,0.36,2020-01-28,05:48,N,nominal,1.0NRT,292.8,2.1,N
7.57965,-65.35876,305.4,0.38,0.36,2020-01-28,05:48,N,nominal,1.0NRT,293.3,1.1,N
7.58241,-65.35476,312.1,0.38,0.36,2020-01-28,05:48,N,nominal,1.0NRT,293.3,1.1,N
7.61036,-65.36047,306.1,0.38,0.36,2020-01-28,05:48,N,nominal,1.0NRT,293.1,0.4,N
7.61091,-65.36394,329.7,0.38,0.36,2020-01-28,05:48,N,nominal,1.0NRT,294.1,2.2,N
7.61145,-65.36741,325.1,0.38,0.36,2020-01-28,05:48,N,nominal,1.0NRT,294.3,2.2,N
7.8788,-66.87352,306.4,0.41,0.37,2020-01-28,05:48,N,nominal,1.0NRT,293.1,0.9,N
8.03468,-67.82859,304.1,0.44,0.38,2020-01-28,05:48,N,nominal,1.0NRT,291.3,0.5,N
7.56071,-64.49119,308.6,0.39,0.36,2020-01-28,05:48,N,nominal,1.0NRT,294.2,1.9,N
