latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
48.21885,21.62776,299.4,0.4,0.37,2020-04-28,00:24,N,nominal,1.0NRT,270.9,0.9,N
48.77912,10.7015,316.3,0.36,0.57,2020-04-28,00:24,N,nominal,1.0NRT,279,1.6,N
48.65472,10.16313,298.3,0.38,0.59,2020-04-28,00:24,N,nominal,1.0NRT,280.1,0.7,N
46.89569,26.0306,299.4,0.41,0.37,2020-04-28,00:24,N,nominal,1.0NRT,274.1,1.1,N
48.27886,14.33857,309.2,0.48,0.48,2020-04-28,00:24,N,nominal,1.0NRT,282.9,3.7,N
48.27839,14.34516,297.4,0.48,0.48,2020-04-28,00:24,N,nominal,1.0NRT,281.8,1.4,N
48.27439,14.33784,332.6,0.48,0.48,2020-04-28,00:24,N,nominal,1.0NRT,284.3,3.7,N
48.27392,14.34442,295.9,0.48,0.48,2020-04-28,00:24,N,nominal,1.0NRT,280.9,1.4,N
47.98491,16.60781,299,0.38,0.43,2020-04-28,00:24,N,nominal,1.0NRT,283.8,0.7,N
48.33416,9.73379,298.5,0.39,0.6,2020-04-28,00:24,N,nominal,1.0NRT,280,0.6,N
44.77209,33.85861,298.5,0.59,0.53,2020-04-28,00:24,N,nominal,1.0NRT,274.5,1.2,N
47.036,22.33086,297,0.39,0.36,2020-04-28,00:24,N,nominal,1.0NRT,278.7,0.9,N
46.45811,23.51689,299.7,0.38,0.36,2020-04-28,00:24,N,nominal,1.0NRT,278.5,0.7,N
46.45486,23.51577,298.8,0.38,0.36,2020-04-28,00:24,N,nominal,1.0NRT,277.8,1.1,N
45.95105,25.27942,300.5,0.4,0.37,2020-04-28,00:24,N,nominal,1.0NRT,276.4,1.3,N
46.09908,22.67467,298.9,0.38,0.36,2020-04-28,00:24,N,nominal,1.0NRT,278.3,0.6,N
45.02815,28.12852,306.8,0.5,0.41,2020-04-28,00:24,N,nominal,1.0NRT,280.6,1.1,N
45.02452,28.12701,314,0.5,0.41,2020-04-28,00:24,N,nominal,1.0NRT,280.5,1.1,N
45.95332,22.86896,300.7,0.38,0.36,2020-04-28,00:24,N,nominal,1.0NRT,277.6,0.9,N
45.61943,23.10449,325.8,0.38,0.36,2020-04-28,00:24,N,nominal,1.0NRT,283.1,2.6,N
45.12333,25.41801,304,0.41,0.37,2020-04-28,00:24,N,nominal,1.0NRT,279.3,1,N
45.12111,25.4159,297.2,0.41,0.37,2020-04-28,00:24,N,nominal,1.0NRT,277.9,0.9,N
46.0166,17.98194,296.7,0.48,0.4,2020-04-28,00:24,N,nominal,1.0NRT,282.9,1.1,N
44.74012,21.25301,302.6,0.39,0.36,2020-04-28,00:24,N,nominal,1.0NRT,282.4,1,N
45.52036,11.49591,296.3,0.62,0.54,2020-04-28,00:24,N,nominal,1.0NRT,283.8,1.4,N
45.45824,10.45847,319.1,0.35,0.56,2020-04-28,00:24,N,nominal,1.0NRT,280.3,1.5,N
43.23213,27.5967,299.5,0.51,0.41,2020-04-28,00:24,N,nominal,1.0NRT,279.7,0.5,N
43.90802,21.51319,301.5,0.39,0.36,2020-04-28,00:24,N,nominal,1.0NRT,281.4,1.2,N
43.12034,24.45482,302.5,0.41,0.37,2020-04-28,00:24,N,nominal,1.0NRT,277.4,0.8,N
41.17557,32.63488,299.7,0.32,0.55,2020-04-28,00:24,N,nominal,1.0NRT,280.5,0.8,N
41.17228,32.63009,300.4,0.32,0.55,2020-04-28,00:24,N,nominal,1.0NRT,278.7,1.1,N
42.8866,24.25977,297.8,0.41,0.37,2020-04-28,00:24,N,nominal,1.0NRT,279.3,0.5,N
41.26717,31.4207,298.3,0.56,0.51,2020-04-28,00:24,N,nominal,1.0NRT,283.1,1.2,N
41.26553,31.42715,297.8,0.56,0.51,2020-04-28,00:24,N,nominal,1.0NRT,285,1.2,N
41.26619,31.42046,298.7,0.56,0.51,2020-04-28,00:24,N,nominal,1.0NRT,282.6,1.6,N
41.26459,31.42694,298.4,0.56,0.52,2020-04-28,00:24,N,nominal,1.0NRT,285.2,1.4,N
42.71476,24.1707,333.5,0.41,0.37,2020-04-28,00:24,N,nominal,1.0NRT,286.1,7.1,N
42.71651,24.16096,297.4,0.41,0.37,2020-04-28,00:24,N,nominal,1.0NRT,279.9,1.1,N
42.73126,18.9342,300,0.42,0.38,2020-04-28,00:24,N,nominal,1.0NRT,279.6,0.5,N
40.75846,29.76108,308.5,0.48,0.48,2020-04-28,00:24,N,nominal,1.0NRT,285.2,2.1,N
40.78169,29.60195,297,0.47,0.48,2020-04-28,00:24,N,nominal,1.0NRT,285.1,0.7,N
40.77128,29.5276,306.8,0.47,0.47,2020-04-28,00:24,N,nominal,1.0NRT,283.9,1.5,N
42.01431,21.46664,315.6,0.38,0.36,2020-04-28,00:24,N,nominal,1.0NRT,281.9,1.2,N
62.0966,32.26752,298.3,0.38,0.36,2020-04-28,00:24,N,nominal,1.0NRT,263.6,0.7,N
59.52444,34.16573,295.6,0.42,0.37,2020-04-28,00:24,N,nominal,1.0NRT,272.3,0.7,N
59.81864,30.26158,296.9,0.38,0.36,2020-04-28,00:24,N,nominal,1.0NRT,269.2,0.7,N
58.83635,2.54231,330.6,0.78,0.78,2020-04-28,00:24,N,nominal,1.0NRT,273.8,6.9,N
56.09268,32.95595,298.8,0.44,0.39,2020-04-28,00:24,N,nominal,1.0NRT,264.9,0.5,N
56.16695,30.95235,295.6,0.41,0.37,2020-04-28,00:24,N,nominal,1.0NRT,269,0.5,N
57.06356,9.97727,320.9,0.42,0.61,2020-04-28,00:24,N,nominal,1.0NRT,279.3,2.7,N
57.05781,9.97708,295.4,0.42,0.61,2020-04-28,00:24,N,nominal,1.0NRT,275.5,0.8,N
53.44152,34.421,296.7,0.55,0.43,2020-04-28,00:24,N,nominal,1.0NRT,270.6,1.8,N
53.44355,34.41539,296.9,0.55,0.43,2020-04-28,00:24,N,nominal,1.0NRT,271.8,1,N
53.58339,33.57558,303.3,0.52,0.41,2020-04-28,00:24,N,nominal,1.0NRT,268.2,1.3,N
55.40118,18.71962,295.9,0.39,0.44,2020-04-28,00:24,N,nominal,1.0NRT,278,0.7,N
54.82673,22.73454,297.8,0.43,0.38,2020-04-28,00:24,N,nominal,1.0NRT,276.4,0.6,N
54.82326,22.73329,295.5,0.43,0.38,2020-04-28,00:24,N,nominal,1.0NRT,276.5,0.6,N
54.5745,21.79023,295.1,0.45,0.39,2020-04-28,00:24,N,nominal,1.0NRT,272.8,0.6,N
52.80333,32.22618,304.4,0.49,0.4,2020-04-28,00:24,N,nominal,1.0NRT,272,1.9,N
53.72684,21.98145,332.8,0.44,0.38,2020-04-28,00:24,N,nominal,1.0NRT,276.6,4.4,N
53.27101,24.44545,307.5,0.39,0.36,2020-04-28,00:24,N,nominal,1.0NRT,275,2.2,N
51.61496,33.36908,298.5,0.56,0.43,2020-04-28,00:24,N,nominal,1.0NRT,268.2,0.6,N
52.11799,28.76303,296.2,0.41,0.37,2020-04-28,00:24,N,nominal,1.0NRT,270.2,1.4,N
52.11692,28.76884,319,0.41,0.37,2020-04-28,00:24,N,nominal,1.0NRT,273.5,1.4,N
52.11253,28.77304,337.5,0.41,0.37,2020-04-28,00:24,N,nominal,1.0NRT,277.6,5.9,N
52.11468,28.7614,308.8,0.41,0.37,2020-04-28,00:24,N,nominal,1.0NRT,275.6,1.4,N
52.11361,28.76722,308.4,0.41,0.37,2020-04-28,00:24,N,nominal,1.0NRT,271.9,1.4,N
52.10376,28.78142,297.5,0.41,0.37,2020-04-28,00:24,N,nominal,1.0NRT,273.4,0.8,N
52.10153,28.77398,297,0.41,0.37,2020-04-28,00:24,N,nominal,1.0NRT,277.3,1.3,N
51.48484,26.96784,301.2,0.39,0.36,2020-04-28,00:24,N,nominal,1.0NRT,269.7,1.2,N
51.27382,27.91808,311.7,0.4,0.37,2020-04-28,00:24,N,nominal,1.0NRT,281.5,2.2,N
51.2728,27.92373,319.1,0.4,0.37,2020-04-28,00:24,N,nominal,1.0NRT,282.7,2.5,N
51.23779,28.11629,308.1,0.41,0.37,2020-04-28,00:24,N,nominal,1.0NRT,280.8,2,N
51.23448,28.11475,302.1,0.41,0.37,2020-04-28,00:24,N,nominal,1.0NRT,277.8,2,N
51.23117,28.11321,295.7,0.41,0.37,2020-04-28,00:24,N,nominal,1.0NRT,274.4,1.4,N
50.70164,29.64284,303,0.45,0.39,2020-04-28,00:24,N,nominal,1.0NRT,266.2,0.9,N
52.17107,14.6309,324.3,0.51,0.49,2020-04-28,00:24,N,nominal,1.0NRT,280,2.8,N
52.17152,14.62328,308,0.51,0.5,2020-04-28,00:24,N,nominal,1.0NRT,279.6,2.8,N
52.35442,9.89098,300.6,0.41,0.6,2020-04-28,00:24,N,nominal,1.0NRT,277.8,0.7,N
51.26867,23.01168,298.6,0.4,0.37,2020-04-28,00:24,N,nominal,1.0NRT,270.9,0.4,N
51.13775,23.54959,306.8,0.39,0.36,2020-04-28,00:24,N,nominal,1.0NRT,277.5,1,N
50.32569,28.09483,302.3,0.42,0.37,2020-04-28,00:24,N,nominal,1.0NRT,273.4,1,N
52.16249,10.41507,299.3,0.39,0.59,2020-04-28,00:24,N,nominal,1.0NRT,281.4,1.5,N
52.16234,10.42094,304.5,0.39,0.59,2020-04-28,00:24,N,nominal,1.0NRT,281,1.7,N
52.15741,10.39718,299.2,0.39,0.59,2020-04-28,00:24,N,nominal,1.0NRT,283.5,1.7,N
52.15726,10.40301,312.1,0.39,0.59,2020-04-28,00:24,N,nominal,1.0NRT,282.6,1.7,N
52.15173,10.40264,330.9,0.39,0.59,2020-04-28,00:24,N,nominal,1.0NRT,280.7,1.7,N
50.54496,26.26078,316.6,0.39,0.36,2020-04-28,00:24,N,nominal,1.0NRT,280.4,1.9,N
51.64503,16.85292,307.2,0.41,0.45,2020-04-28,00:24,N,nominal,1.0NRT,272.4,0.6,N
51.6888,15.97715,297.2,0.45,0.47,2020-04-28,00:24,N,nominal,1.0NRT,281.2,1.1,N
48.47323,34.96849,305.3,0.52,0.5,2020-04-28,00:24,N,nominal,1.0NRT,280.5,1.8,N
51.81248,11.75649,295.4,0.34,0.56,2020-04-28,00:24,N,nominal,1.0NRT,281.2,0.4,N
48.53208,34.64527,327.5,0.5,0.49,2020-04-28,00:24,N,nominal,1.0NRT,279.5,5.1,N
48.52095,34.63123,310.3,0.5,0.49,2020-04-28,00:24,N,nominal,1.0NRT,279.8,1.7,N
48.51836,34.6222,298,0.5,0.49,2020-04-28,00:24,N,nominal,1.0NRT,278.8,2,N
51.85869,8.0296,296.8,0.49,0.65,2020-04-28,00:24,N,nominal,1.0NRT,280.2,1.1,N
48.95117,32.84504,295.4,0.42,0.45,2020-04-28,00:24,N,nominal,1.0NRT,272.7,0.6,N
48.47183,34.63076,295.6,0.51,0.49,2020-04-28,00:24,N,nominal,1.0NRT,277.7,0.7,N
50.92892,21.67333,296.3,0.42,0.38,2020-04-28,00:24,N,nominal,1.0NRT,279.5,1.2,N
50.94601,21.45359,302.4,0.43,0.38,2020-04-28,00:24,N,nominal,1.0NRT,279.1,0.5,N
51.7678,8.05324,299.2,0.48,0.65,2020-04-28,00:24,N,nominal,1.0NRT,279.5,1.1,N
51.66809,11.41299,300.5,0.35,0.57,2020-04-28,00:24,N,nominal,1.0NRT,276.2,1.1,N
51.66792,11.41831,314.2,0.35,0.57,2020-04-28,00:24,N,nominal,1.0NRT,277.1,1.1,N
51.66926,11.41766,326.6,0.35,0.57,2020-04-28,00:24,N,nominal,1.0NRT,277.7,1.5,N
51.1059,18.94428,300.8,0.51,0.41,2020-04-28,00:24,N,nominal,1.0NRT,277.9,0.9,N
50.80598,20.5295,302.8,0.45,0.39,2020-04-28,00:24,N,nominal,1.0NRT,276.8,1,N
50.82787,20.27647,295.7,0.46,0.39,2020-04-28,00:24,N,nominal,1.0NRT,278,0.4,N
51.18119,16.11251,309.6,0.43,0.46,2020-04-28,00:24,N,nominal,1.0NRT,280.1,1.8,N
51.17865,16.1103,330.5,0.43,0.46,2020-04-28,00:24,N,nominal,1.0NRT,280.5,2.6,N
51.17815,16.11652,296,0.43,0.46,2020-04-28,00:24,N,nominal,1.0NRT,279.7,2.6,N
51.48418,6.7056,307.7,0.55,0.68,2020-04-28,00:24,N,nominal,1.0NRT,269.3,2,N
51.48421,6.71388,295.3,0.55,0.68,2020-04-28,00:24,N,nominal,1.0NRT,267,1.1,N
51.48424,6.72212,295.5,0.55,0.68,2020-04-28,00:24,N,nominal,1.0NRT,264.7,1.1,N
51.36849,6.70172,301.2,0.55,0.68,2020-04-28,00:24,N,nominal,1.0NRT,277.3,3.3,N
51.36852,6.71007,305.1,0.55,0.68,2020-04-28,00:24,N,nominal,1.0NRT,278.1,1.8,N
51.36211,6.71011,302.2,0.55,0.68,2020-04-28,00:24,N,nominal,1.0NRT,276.2,1.8,N
49.98,24.93593,299.8,0.38,0.36,2020-04-28,00:24,N,nominal,1.0NRT,277.4,1.1,N
51.27283,11.66121,300.3,0.34,0.56,2020-04-28,00:24,N,nominal,1.0NRT,279.8,0.5,N
51.26764,11.66054,299.8,0.34,0.56,2020-04-28,00:24,N,nominal,1.0NRT,278.4,0.5,N
50.49269,19.45837,298,0.48,0.4,2020-04-28,00:24,N,nominal,1.0NRT,281.5,1.5,N
50.4912,19.47215,295.2,0.48,0.4,2020-04-28,00:24,N,nominal,1.0NRT,277.8,0.3,N
50.53614,17.97995,305,0.54,0.42,2020-04-28,00:24,N,nominal,1.0NRT,282.8,1,N
