latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
32.94999,3.23398,296.2,0.43,0.38,2020-03-03,01:18,N,nominal,1.0NRT,282.2,0.9,N
32.94714,3.22873,335.8,0.43,0.38,2020-03-03,01:18,N,nominal,1.0NRT,284.2,3.2,N
32.94775,3.22415,299.4,0.43,0.38,2020-03-03,01:18,N,nominal,1.0NRT,281.8,3.2,N
32.94652,3.23331,297.9,0.43,0.38,2020-03-03,01:18,N,nominal,1.0NRT,282.6,1.6,N
32.93895,3.23657,295.4,0.43,0.38,2020-03-03,01:18,N,nominal,1.0NRT,284.5,0.6,N
32.93547,3.23591,303,0.43,0.38,2020-03-03,01:18,N,nominal,1.0NRT,282.6,0.6,N
31.70238,9.24278,300.8,0.46,0.39,2020-03-03,01:18,N,nominal,1.0NRT,284.9,0.5,N
31.69883,9.24188,295.7,0.46,0.39,2020-03-03,01:18,N,nominal,1.0NRT,284.2,0.5,N
32.16002,6.59794,316.2,0.39,0.36,2020-03-03,01:18,N,nominal,1.0NRT,277.1,1,N
32.15935,6.60201,296,0.39,0.36,2020-03-03,01:18,N,nominal,1.0NRT,275.4,1,N
32.13665,6.47171,340,0.39,0.36,2020-03-03,01:18,N,nominal,1.0NRT,276.8,4.2,N
32.13335,6.47097,334,0.39,0.36,2020-03-03,01:18,N,nominal,1.0NRT,280.3,4.5,N
32.40395,4.006,313.9,0.4,0.37,2020-03-03,01:18,N,nominal,1.0NRT,286.1,1.4,N
31.39992,10.02515,299.1,0.5,0.41,2020-03-03,01:18,N,nominal,1.0NRT,269.7,0.7,N
32.40058,4.00532,308,0.4,0.37,2020-03-03,01:18,N,nominal,1.0NRT,285.6,0.9,N
32.27748,3.98721,336.8,0.4,0.37,2020-03-03,01:18,N,nominal,1.0NRT,294,12.2,N
31.86618,6.17166,332.7,0.39,0.36,2020-03-03,01:18,N,nominal,1.0NRT,289.5,10,N
31.86553,6.1757,307.1,0.39,0.36,2020-03-03,01:18,N,nominal,1.0NRT,286.5,3.7,N
31.86288,6.17093,302.6,0.39,0.36,2020-03-03,01:18,N,nominal,1.0NRT,282.8,0.7,N
31.85133,6.05136,296.6,0.38,0.36,2020-03-03,01:18,N,nominal,1.0NRT,285.2,0.4,N
31.84868,6.0466,298,0.38,0.36,2020-03-03,01:18,N,nominal,1.0NRT,284.5,0.7,N
31.84804,6.05063,302.6,0.38,0.36,2020-03-03,01:18,N,nominal,1.0NRT,285.5,0.7,N
31.8169,6.22355,324.5,0.39,0.36,2020-03-03,01:18,N,nominal,1.0NRT,293.6,9.9,N
31.81625,6.22759,301.8,0.39,0.36,2020-03-03,01:18,N,nominal,1.0NRT,286.8,9.9,N
31.8136,6.22282,322.8,0.39,0.36,2020-03-03,01:18,N,nominal,1.0NRT,285.7,2.8,N
31.79944,6.05803,296.1,0.38,0.36,2020-03-03,01:18,N,nominal,1.0NRT,283,0.4,N
31.7988,6.06206,295.2,0.38,0.36,2020-03-03,01:18,N,nominal,1.0NRT,283.2,0.3,N
31.8058,5.99676,306.1,0.38,0.36,2020-03-03,01:18,N,nominal,1.0NRT,285.2,0.8,N
31.78828,6.06393,300.7,0.38,0.36,2020-03-03,01:18,N,nominal,1.0NRT,283.2,0.9,N
31.78763,6.06797,307.1,0.38,0.36,2020-03-03,01:18,N,nominal,1.0NRT,282.4,0.6,N
31.68657,6.18771,322,0.39,0.36,2020-03-03,01:18,N,nominal,1.0NRT,283.6,1.5,N
31.67803,6.19836,297.8,0.39,0.36,2020-03-03,01:18,N,nominal,1.0NRT,281.2,0.4,N
31.85001,5.0541,324.6,0.39,0.36,2020-03-03,01:18,N,nominal,1.0NRT,272.7,1.6,N
31.70894,5.96305,313.5,0.38,0.36,2020-03-03,01:18,N,nominal,1.0NRT,275.7,1.3,N
31.7083,5.96708,296.8,0.38,0.36,2020-03-03,01:18,N,nominal,1.0NRT,274.3,0.4,N
31.84741,5.05527,334.3,0.39,0.36,2020-03-03,01:18,N,nominal,1.0NRT,278.2,4.3,N
31.70605,5.96402,336.5,0.38,0.36,2020-03-03,01:18,N,nominal,1.0NRT,280.1,5.2,N
31.70669,5.95999,300.2,0.38,0.36,2020-03-03,01:18,N,nominal,1.0NRT,271.1,5.2,N
31.70541,5.96805,296.5,0.38,0.36,2020-03-03,01:18,N,nominal,1.0NRT,276.4,0.8,N
31.70276,5.9633,298,0.38,0.36,2020-03-03,01:18,N,nominal,1.0NRT,279.6,5.2,N
31.69553,5.96589,319.5,0.38,0.36,2020-03-03,01:18,N,nominal,1.0NRT,277.5,1.6,N
31.67875,6.04983,296.7,0.38,0.36,2020-03-03,01:18,N,nominal,1.0NRT,282,0.6,N
31.67545,6.04911,305.7,0.38,0.36,2020-03-03,01:18,N,nominal,1.0NRT,283.3,0.6,N
31.66822,6.05169,296.8,0.38,0.36,2020-03-03,01:18,N,nominal,1.0NRT,283,0.5,N
31.66759,6.05563,295.8,0.38,0.36,2020-03-03,01:18,N,nominal,1.0NRT,282,0.5,N
31.66629,6.06369,300.8,0.38,0.36,2020-03-03,01:18,N,nominal,1.0NRT,285.1,0.8,N
31.66492,6.05097,330.6,0.38,0.36,2020-03-03,01:18,N,nominal,1.0NRT,283.2,1.4,N
31.66429,6.05491,327.4,0.38,0.36,2020-03-03,01:18,N,nominal,1.0NRT,283.6,1.4,N
31.66365,6.05894,333.2,0.38,0.36,2020-03-03,01:18,N,nominal,1.0NRT,285.2,2.1,N
31.663,6.06297,330.8,0.38,0.36,2020-03-03,01:18,N,nominal,1.0NRT,283.5,2.1,N
