latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
66.68199,77.31793,367,0.77,0.77,2020-11-14,01:06,N,high,2.0NRT,253.2,13.1,N
68.52165,79.95596,328.1,0.61,0.71,2020-11-14,01:06,N,nominal,2.0NRT,251.7,3.8,N
67.30256,79.06718,344.6,0.72,0.76,2020-11-14,01:06,N,nominal,2.0NRT,247.8,7.9,N
67.30082,79.04926,367,0.72,0.76,2020-11-14,01:06,N,high,2.0NRT,248.7,7.9,N
67.30421,79.05421,348.6,0.72,0.76,2020-11-14,01:06,N,nominal,2.0NRT,247.8,9.3,N
67.29758,79.05887,337,0.72,0.76,2020-11-14,01:06,N,nominal,2.0NRT,247.6,9.3,N
67.78651,77.01151,320.1,0.65,0.73,2020-11-14,01:06,N,nominal,2.0NRT,250.6,1.7,N
66.86565,77.29769,342.1,0.75,0.77,2020-11-14,01:06,N,nominal,2.0NRT,251.1,5.8,N
66.6865,77.31821,322.5,0.77,0.77,2020-11-14,01:06,N,nominal,2.0NRT,250.7,12.5,N
66.86753,77.28954,337.7,0.75,0.77,2020-11-14,01:06,N,nominal,2.0NRT,250.6,8.3,N
68.52197,79.9503,327.1,0.61,0.71,2020-11-14,01:06,N,nominal,2.0NRT,252.1,3.6,N
66.45999,77.21632,337.2,0.79,0.78,2020-11-14,01:06,N,nominal,2.0NRT,247.7,7.3,N
66.45956,77.21319,335.8,0.79,0.78,2020-11-14,01:06,N,nominal,2.0NRT,247.4,6.3,N
66.95577,75.54533,338.3,0.72,0.75,2020-11-14,01:06,N,nominal,2.0NRT,246.9,6.5,N
67.87216,72.44572,327.7,0.59,0.7,2020-11-14,01:06,N,nominal,2.0NRT,244.8,3.4,N
67.80487,72.51612,367,0.6,0.7,2020-11-14,01:06,N,high,2.0NRT,255.7,20.9,N
67.79975,72.52147,346.9,0.6,0.7,2020-11-14,01:06,N,nominal,2.0NRT,253.7,20.9,N
66.19733,70.9846,333.2,0.72,0.76,2020-11-14,01:06,N,nominal,2.0NRT,250.8,4.7,N
68.41535,83.62003,367,0.65,0.73,2020-11-14,01:06,N,high,2.0NRT,246.9,13.1,N
68.41208,83.63538,328.2,0.65,0.73,2020-11-14,01:06,N,nominal,2.0NRT,246.9,7.2,N
68.41097,83.61702,328.7,0.65,0.73,2020-11-14,01:06,N,nominal,2.0NRT,244.4,7.2,N
67.86205,83.39931,320.2,0.7,0.75,2020-11-14,01:06,N,nominal,2.0NRT,238.7,6.1,N
67.59537,83.25297,341,0.73,0.76,2020-11-14,01:06,N,nominal,2.0NRT,243.8,7.5,N
67.59367,83.24035,353.7,0.73,0.76,2020-11-14,01:06,N,nominal,2.0NRT,243.5,8.2,N
67.27353,83.21234,341.3,0.76,0.77,2020-11-14,01:06,N,nominal,2.0NRT,241.7,5,N
67.28268,83.03472,332.7,0.76,0.77,2020-11-14,01:06,N,nominal,2.0NRT,243,4.6,N
59.02546,28.18212,300.3,0.41,0.45,2020-11-14,01:12,N,nominal,2.0NRT,269.3,0.7,N
59.02344,28.18174,301.2,0.41,0.45,2020-11-14,01:12,N,nominal,2.0NRT,269,1.1,N
67.30139,79.05322,367,0.77,0.77,2020-11-14,02:42,N,high,2.0NRT,252.4,13.5,N
67.30416,79.05086,337.2,0.77,0.77,2020-11-14,02:42,N,nominal,2.0NRT,247.5,7.9,N
67.86008,83.38772,335.4,0.67,0.74,2020-11-14,02:42,N,nominal,2.0NRT,237.5,4.8,N
68.52233,79.94923,321.9,0.63,0.72,2020-11-14,02:42,N,nominal,2.0NRT,252.9,2.9,N
67.28091,83.033,338.6,0.74,0.76,2020-11-14,02:42,N,nominal,2.0NRT,243.1,4.8,N
68.41132,83.63007,343.9,0.62,0.71,2020-11-14,02:42,N,nominal,2.0NRT,244.8,6.1,N
67.29678,79.04753,326.7,0.77,0.77,2020-11-14,02:42,N,nominal,2.0NRT,248.2,7.9,N
67.27544,83.20507,326.8,0.74,0.76,2020-11-14,02:42,N,nominal,2.0NRT,241,4,N
67.27306,83.21115,337.3,0.74,0.76,2020-11-14,02:42,N,nominal,2.0NRT,241.8,5.1,N
67.5936,83.24843,354.9,0.7,0.75,2020-11-14,02:42,N,nominal,2.0NRT,245.8,8.7,N
67.28229,83.04443,321,0.74,0.76,2020-11-14,02:42,N,nominal,2.0NRT,242.7,3.7,N
67.59114,83.24988,339.1,0.7,0.75,2020-11-14,02:42,N,nominal,2.0NRT,243.9,9.8,N
67.85825,83.40549,333.7,0.67,0.74,2020-11-14,02:42,N,nominal,2.0NRT,241,4.8,N
67.80264,72.51414,367,0.75,0.77,2020-11-14,02:48,N,high,2.0NRT,257.7,35.2,N
67.79552,72.51299,320.6,0.75,0.77,2020-11-14,02:48,N,nominal,2.0NRT,246.2,16.4,N
43.09446,125.52176,330.4,0.43,0.38,2020-11-14,04:12,N,nominal,2.0NRT,284.8,2.6,D
44.60331,126.91923,335,0.39,0.36,2020-11-14,04:12,N,nominal,2.0NRT,282.7,3.6,D
