latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-9.45835,160.05656,330.9,0.41,0.61,2020-03-26,03:30,N,nominal,1.0NRT,280.3,7.6,D
12.01202,124.87404,332.4,0.39,0.44,2020-03-26,05:12,N,nominal,1.0NRT,298.2,9.9,D
12.01153,124.87048,345.1,0.39,0.44,2020-03-26,05:12,N,nominal,1.0NRT,298.2,7.2,D
12.0328,124.99588,352,0.4,0.44,2020-03-26,05:12,N,nominal,1.0NRT,301.1,17.3,D
12.0374,124.99906,340.6,0.4,0.44,2020-03-26,05:12,N,nominal,1.0NRT,297.1,17.3,D
12.03691,124.99552,334.6,0.4,0.44,2020-03-26,05:12,N,nominal,1.0NRT,302,17.3,D
12.04002,124.98788,334.1,0.4,0.44,2020-03-26,05:12,N,nominal,1.0NRT,297.4,3.1,D
12.04769,124.9832,342.8,0.4,0.44,2020-03-26,05:12,N,nominal,1.0NRT,296.6,10.8,D
12.04689,124.98238,354.3,0.4,0.44,2020-03-26,05:12,N,nominal,1.0NRT,294.7,7.3,D
-8.12093,112.92572,331.8,0.52,0.67,2020-03-26,05:12,N,low,1.0NRT,304.7,12.3,D
-8.11524,112.92097,367,0.52,0.67,2020-03-26,05:12,N,high,1.0NRT,315.1,34.1,D
-8.11784,112.89994,367,0.52,0.67,2020-03-26,05:12,N,high,1.0NRT,290.4,16.9,D
-8.12172,112.9267,328,0.52,0.67,2020-03-26,05:12,N,low,1.0NRT,303,13.7,D
-8.11836,112.90455,367,0.52,0.67,2020-03-26,05:12,N,high,1.0NRT,306.5,22.1,D
-8.11596,112.9226,347,0.52,0.67,2020-03-26,05:12,N,nominal,1.0NRT,311.1,29.7,D
-3.55358,126.45518,334.4,0.46,0.39,2020-03-26,05:12,N,nominal,1.0NRT,298,8.4,D
-3.55421,126.45113,348.7,0.46,0.39,2020-03-26,05:12,N,nominal,1.0NRT,301.8,8.4,D
-3.54993,126.45482,333.4,0.46,0.39,2020-03-26,05:12,N,nominal,1.0NRT,293.2,6.6,D
-3.55055,126.45076,344.8,0.46,0.39,2020-03-26,05:12,N,nominal,1.0NRT,298.7,6.6,D
-1.99925,124.35777,334.6,0.4,0.37,2020-03-26,05:12,N,nominal,1.0NRT,294,4.5,D
-2.67329,118.89301,325.7,0.52,0.42,2020-03-26,05:12,N,low,1.0NRT,295.7,6.5,D
-3.10972,114.19637,367,0.36,0.57,2020-03-26,05:12,N,high,1.0NRT,293,21.9,D
-1.3826,122.47981,332.5,0.38,0.36,2020-03-26,05:12,N,nominal,1.0NRT,297.9,2.8,D
-0.00533,127.43722,330.7,0.39,0.44,2020-03-26,05:12,N,nominal,1.0NRT,291,2.2,D
0.69526,124.16425,334,0.41,0.37,2020-03-26,05:12,N,nominal,1.0NRT,299.3,3.2,D
-0.36758,116.7048,344.9,0.44,0.46,2020-03-26,05:12,N,nominal,1.0NRT,291.3,7.2,D
1.39497,128.22664,331.3,0.46,0.47,2020-03-26,05:12,N,nominal,1.0NRT,290,3.2,D
0.76991,122.25648,332.4,0.38,0.36,2020-03-26,05:12,N,nominal,1.0NRT,300.8,4.7,D
0.0558,117.38352,328.7,0.4,0.44,2020-03-26,05:12,N,nominal,1.0NRT,293,18.3,D
0.05523,117.37988,339.9,0.4,0.44,2020-03-26,05:12,N,nominal,1.0NRT,297.3,38.8,D
1.70006,127.87793,327.9,0.44,0.46,2020-03-26,05:12,N,nominal,1.0NRT,291.2,4.8,D
0.26648,116.60082,328.3,0.44,0.46,2020-03-26,05:12,N,nominal,1.0NRT,298.1,12,D
0.67361,117.46378,333.1,0.38,0.43,2020-03-26,05:12,N,nominal,1.0NRT,292.4,8.4,D
1.11866,117.6708,332.2,0.55,0.43,2020-03-26,05:12,N,nominal,1.0NRT,293.4,9.1,D
6.26292,125.15508,330.9,0.52,0.41,2020-03-26,05:12,N,nominal,1.0NRT,285.6,3.8,D
6.30289,124.49995,333.4,0.48,0.4,2020-03-26,05:12,N,nominal,1.0NRT,287.9,2.2,D
6.41439,125.2229,343.9,0.52,0.42,2020-03-26,05:12,N,nominal,1.0NRT,291.7,20.5,D
4.98999,115.47596,326.7,0.44,0.46,2020-03-26,05:12,N,nominal,1.0NRT,289,4.8,D
6.59,124.91734,331.1,0.51,0.41,2020-03-26,05:12,N,nominal,1.0NRT,292.3,3.5,D
6.55009,124.48417,332.2,0.48,0.4,2020-03-26,05:12,N,nominal,1.0NRT,289.1,3.2,D
6.59706,124.24626,336.8,0.47,0.4,2020-03-26,05:12,N,nominal,1.0NRT,292.8,6.6,D
6.73156,124.48158,333.5,0.48,0.4,2020-03-26,05:12,N,nominal,1.0NRT,297.5,5.3,D
6.70582,124.27679,335.6,0.47,0.4,2020-03-26,05:12,N,nominal,1.0NRT,296.5,4,D
5.46548,115.68651,328.6,0.42,0.45,2020-03-26,05:12,N,nominal,1.0NRT,291.7,5.9,D
5.46966,115.68584,351.2,0.42,0.45,2020-03-26,05:12,N,nominal,1.0NRT,292.7,5.9,D
6.87178,124.39523,336.5,0.48,0.4,2020-03-26,05:12,N,nominal,1.0NRT,298.4,5.5,D
6.87025,124.3336,331.8,0.47,0.4,2020-03-26,05:12,N,nominal,1.0NRT,295.6,5.1,D
5.53334,115.62838,333.5,0.43,0.46,2020-03-26,05:12,N,nominal,1.0NRT,295.5,5.4,D
6.88345,124.39804,336.4,0.48,0.4,2020-03-26,05:12,N,nominal,1.0NRT,295,4.2,D
6.85972,124.06132,333.1,0.46,0.39,2020-03-26,05:12,N,nominal,1.0NRT,294.4,3.6,D
6.86097,124.06175,334.3,0.46,0.39,2020-03-26,05:12,N,nominal,1.0NRT,292.4,4.9,D
6.87544,124.08551,336,0.46,0.39,2020-03-26,05:12,N,nominal,1.0NRT,294.8,4.7,D
