latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-10.90173,-42.68977,311.3,0.5,0.65,2020-02-21,03:18,N,nominal,1.0NRT,289.9,2.2,N
-21.21624,-40.00081,322.8,0.43,0.46,2020-02-21,03:24,N,nominal,1.0NRT,293.6,2.5,N
-21.21704,-39.99664,314,0.43,0.46,2020-02-21,03:24,N,nominal,1.0NRT,293.6,2.5,N
-21.21522,-39.99853,331.8,0.43,0.46,2020-02-21,03:24,N,nominal,1.0NRT,293.4,4.3,N
-12.39699,-38.34322,306.1,0.48,0.48,2020-02-21,03:24,N,nominal,1.0NRT,292.4,1.1,N
-12.40142,-38.34411,304.9,0.48,0.48,2020-02-21,03:24,N,nominal,1.0NRT,292.8,1.4,N
-19.82052,-43.12825,315.4,0.36,0.57,2020-02-21,03:24,N,nominal,1.0NRT,288.7,0.7,N
-18.55626,-42.34673,313.5,0.34,0.56,2020-02-21,03:24,N,nominal,1.0NRT,288.2,1.1,N
-18.5569,-42.34357,312.3,0.34,0.56,2020-02-21,03:24,N,nominal,1.0NRT,288,1.1,N
-19.82567,-43.13002,302,0.36,0.57,2020-02-21,03:24,N,nominal,1.0NRT,289.1,0.7,N
-19.4782,-42.5311,308.9,0.33,0.56,2020-02-21,03:24,N,nominal,1.0NRT,291.2,1,N
-19.48133,-42.54183,310.5,0.33,0.56,2020-02-21,03:24,N,nominal,1.0NRT,291.1,2,N
-19.48266,-42.53541,312.1,0.33,0.56,2020-02-21,03:24,N,nominal,1.0NRT,290.9,1,N
-19.48332,-42.53223,306.3,0.33,0.56,2020-02-21,03:24,N,nominal,1.0NRT,290.7,1,N
-20.2299,-40.23492,305.3,0.46,0.47,2020-02-21,03:24,N,nominal,1.0NRT,290.4,2.5,N
-20.23337,-40.24035,303.6,0.46,0.47,2020-02-21,03:24,N,nominal,1.0NRT,289,1.1,N
-20.23772,-40.24135,309.7,0.46,0.47,2020-02-21,03:24,N,nominal,1.0NRT,289.8,2.4,N
-20.24207,-40.24233,319.2,0.46,0.47,2020-02-21,03:24,N,nominal,1.0NRT,288.8,2.4,N
-22.50907,-44.10868,303.8,0.36,0.58,2020-02-21,03:24,N,nominal,1.0NRT,288.5,1.9,N
-22.50985,-44.1051,301.6,0.36,0.58,2020-02-21,03:24,N,nominal,1.0NRT,288,1.1,N
-22.51809,-44.11845,301.8,0.36,0.58,2020-02-21,03:24,N,nominal,1.0NRT,288,0.9,N
-22.90119,-43.73495,328.6,0.34,0.56,2020-02-21,03:24,N,nominal,1.0NRT,290.8,3,N
-22.90192,-43.73164,305.2,0.34,0.56,2020-02-21,03:24,N,nominal,1.0NRT,290.6,1.5,N
-22.90268,-43.75292,324.6,0.34,0.56,2020-02-21,03:24,N,nominal,1.0NRT,290.8,2.4,N
-22.90631,-43.73631,329.2,0.34,0.56,2020-02-21,03:24,N,nominal,1.0NRT,290.7,2.5,N
-22.90558,-43.73962,306,0.34,0.56,2020-02-21,03:24,N,nominal,1.0NRT,291.1,2.5,N
-22.90703,-43.73299,315.6,0.34,0.56,2020-02-21,03:24,N,nominal,1.0NRT,291,2.7,N
-22.91288,-43.73099,347.5,0.34,0.56,2020-02-21,03:24,N,nominal,1.0NRT,290.7,2.7,N
-22.91216,-43.73432,309.5,0.34,0.56,2020-02-21,03:24,N,nominal,1.0NRT,290.4,2.7,N
-22.91805,-43.75697,312.2,0.34,0.56,2020-02-21,03:24,N,nominal,1.0NRT,291.2,1.3,N
-22.92318,-43.7583,312.6,0.34,0.56,2020-02-21,03:24,N,nominal,1.0NRT,290.8,1.1,N
-22.9239,-43.75497,313.9,0.34,0.56,2020-02-21,03:24,N,nominal,1.0NRT,291.2,1.1,N
-20.24643,-40.2433,315.3,0.46,0.47,2020-02-21,03:24,N,nominal,1.0NRT,289.9,2,N
-20.25077,-40.2443,306.7,0.46,0.47,2020-02-21,03:24,N,nominal,1.0NRT,290.1,2,N
-24.63378,-42.41248,324.1,0.52,0.5,2020-02-21,03:24,N,nominal,1.0NRT,292.7,9.1,N
-24.63835,-42.41366,356.2,0.52,0.5,2020-02-21,03:24,N,nominal,1.0NRT,293,9.1,N
-24.63942,-42.4085,305.7,0.52,0.5,2020-02-21,03:24,N,nominal,1.0NRT,292.6,2.1,N
-24.63651,-42.41422,341.3,0.52,0.5,2020-02-21,03:24,N,nominal,1.0NRT,293.7,10,N
-24.63761,-42.40907,313.9,0.52,0.5,2020-02-21,03:24,N,nominal,1.0NRT,292.6,10,N
-24.64861,-42.51568,309.9,0.53,0.5,2020-02-21,03:24,N,nominal,1.0NRT,292.1,1.3,N
-25.02363,-42.66956,349.6,0.53,0.5,2020-02-21,03:24,N,nominal,1.0NRT,291.1,13.1,N
-25.02174,-42.66814,340.1,0.53,0.5,2020-02-21,03:24,N,nominal,1.0NRT,291.3,7.8,N
-33.93907,-53.66822,305.6,0.68,0.74,2020-02-21,03:30,N,nominal,1.0NRT,281.8,10.6,N
-33.95227,-53.67414,330.3,0.68,0.74,2020-02-21,03:30,N,nominal,1.0NRT,277.7,5.3,N
-33.9479,-53.66382,344.6,0.68,0.74,2020-02-21,03:30,N,nominal,1.0NRT,282.5,10.6,N
-33.94567,-53.67118,336.8,0.68,0.74,2020-02-21,03:30,N,nominal,1.0NRT,282.3,10.6,N
-33.94131,-53.66086,367,0.68,0.74,2020-02-21,03:30,N,high,1.0NRT,286,10.6,N
-33.93248,-53.66526,296.5,0.68,0.74,2020-02-21,03:30,N,nominal,1.0NRT,281.6,4.9,N
-33.93471,-53.65791,350.4,0.68,0.74,2020-02-21,03:30,N,nominal,1.0NRT,285,4.9,N
-33.92812,-53.65495,300.5,0.68,0.74,2020-02-21,03:30,N,nominal,1.0NRT,282.3,4.9,N
9.85778,-63.34042,319.6,0.51,0.66,2020-02-21,04:54,N,nominal,1.0NRT,288.9,2,N
9.73719,-63.47004,309,0.51,0.66,2020-02-21,04:54,N,nominal,1.0NRT,285.7,4.3,N
9.72984,-63.46146,321,0.51,0.66,2020-02-21,04:54,N,nominal,1.0NRT,284.7,2.6,N
9.73228,-63.4809,310.7,0.52,0.66,2020-02-21,04:54,N,nominal,1.0NRT,285,8,N
8.01459,-56.99294,313.1,0.54,0.42,2020-02-21,04:54,N,nominal,1.0NRT,284.1,1.5,N
9.22941,-64.3056,315.8,0.58,0.69,2020-02-21,04:54,N,nominal,1.0NRT,287.2,10.3,N
9.11014,-63.37585,315,0.5,0.66,2020-02-21,04:54,N,nominal,1.0NRT,288.4,1.2,N
9.10501,-64.14486,304.3,0.56,0.69,2020-02-21,04:54,N,nominal,1.0NRT,287.2,0.6,N
9.10399,-64.14508,305.6,0.56,0.69,2020-02-21,04:54,N,nominal,1.0NRT,287.4,0.9,N
8.91052,-63.80669,320.8,0.53,0.67,2020-02-21,04:54,N,nominal,1.0NRT,287.9,2.4,N
8.6895,-63.23347,301.5,0.48,0.65,2020-02-21,04:54,N,nominal,1.0NRT,288.3,0.2,N
9.7378,-63.4749,367,0.51,0.66,2020-02-21,04:54,N,high,1.0NRT,288.3,8,N
9.73842,-63.47979,355.5,0.52,0.66,2020-02-21,04:54,N,nominal,1.0NRT,287,8,N
9.73166,-63.47599,306.4,0.51,0.66,2020-02-21,04:54,N,nominal,1.0NRT,285.2,8,N
9.73045,-63.46633,307.3,0.51,0.66,2020-02-21,04:54,N,nominal,1.0NRT,284.9,4.3,N
9.7051,-63.46424,318.5,0.51,0.66,2020-02-21,04:54,N,nominal,1.0NRT,281.6,2.4,N
9.69888,-63.46461,313,0.51,0.66,2020-02-21,04:54,N,nominal,1.0NRT,279.2,2.5,N
9.85166,-63.34133,310.4,0.51,0.66,2020-02-21,04:54,N,nominal,1.0NRT,287.9,1.3,N
9.78062,-63.27066,311.8,0.5,0.66,2020-02-21,04:54,N,nominal,1.0NRT,286.6,2.7,N
9.77454,-63.27162,336.5,0.5,0.66,2020-02-21,04:54,N,nominal,1.0NRT,286.2,2.7,N
9.77397,-63.26701,309.4,0.5,0.66,2020-02-21,04:54,N,nominal,1.0NRT,286.2,1.9,N
10.18095,-61.69418,312.4,0.4,0.6,2020-02-21,04:54,N,nominal,1.0NRT,291.1,2.5,N
10.18192,-61.70158,316.1,0.4,0.6,2020-02-21,04:54,N,nominal,1.0NRT,291.2,3.2,N
10.18144,-61.69788,347.1,0.4,0.6,2020-02-21,04:54,N,nominal,1.0NRT,291.4,3.2,N
10.18083,-61.69485,313.2,0.4,0.6,2020-02-21,04:54,N,nominal,1.0NRT,291.1,3.8,N
10.18175,-61.70226,311.1,0.4,0.6,2020-02-21,04:54,N,nominal,1.0NRT,291.1,2.6,N
10.18129,-61.69857,367,0.4,0.6,2020-02-21,04:54,N,high,1.0NRT,291.2,2.6,N
10.18683,-61.6978,315.5,0.4,0.6,2020-02-21,04:54,N,nominal,1.0NRT,291,2.6,N
9.56417,-63.63517,321.5,0.53,0.67,2020-02-21,04:54,N,nominal,1.0NRT,287.3,2.4,N
10.18729,-61.7015,318.2,0.4,0.6,2020-02-21,04:54,N,nominal,1.0NRT,291.5,2.6,N
9.74465,-63.42978,314.7,0.51,0.66,2020-02-21,04:54,N,nominal,1.0NRT,285.9,2.1,N
9.74526,-63.43456,307.4,0.51,0.66,2020-02-21,04:54,N,nominal,1.0NRT,285.6,2.5,N
8.01386,-56.988,308.4,0.54,0.42,2020-02-21,04:54,N,nominal,1.0NRT,284.9,1.5,N
8.01069,-56.99352,332.9,0.54,0.42,2020-02-21,04:54,N,nominal,1.0NRT,284.7,1.5,N
8.00996,-56.98857,307.1,0.54,0.42,2020-02-21,04:54,N,nominal,1.0NRT,284.4,1.5,N
8.27798,-62.82082,305.3,0.44,0.63,2020-02-21,04:54,N,nominal,1.0NRT,278.6,1,N
8.27856,-62.82513,296.2,0.44,0.63,2020-02-21,04:54,N,nominal,1.0NRT,277.8,1,N
8.30254,-62.78347,295.8,0.44,0.63,2020-02-21,04:54,N,nominal,1.0NRT,275.9,0.4,N
8.68294,-63.1558,306.5,0.47,0.64,2020-02-21,04:54,N,nominal,1.0NRT,288.3,5.3,N
9.56359,-63.63029,310.7,0.53,0.67,2020-02-21,04:54,N,nominal,1.0NRT,286.6,2.4,N
9.56593,-63.63416,320.7,0.52,0.67,2020-02-21,04:54,N,nominal,1.0NRT,287,1.9,N
9.56532,-63.6293,301.1,0.52,0.67,2020-02-21,04:54,N,nominal,1.0NRT,286.7,1.9,N
8.68891,-63.15501,367,0.47,0.64,2020-02-21,04:54,N,high,1.0NRT,289.8,5.3,N
9.74426,-63.43314,330.7,0.51,0.66,2020-02-21,04:54,N,nominal,1.0NRT,286.6,2.8,N
9.23011,-64.30684,326.7,0.58,0.69,2020-02-21,04:54,N,nominal,1.0NRT,287.1,8.8,N
9.23593,-64.30066,310,0.58,0.69,2020-02-21,04:54,N,nominal,1.0NRT,287.1,4.3,N
9.23656,-64.30593,354.7,0.58,0.69,2020-02-21,04:54,N,nominal,1.0NRT,288,8.8,N
8.6895,-63.15939,335,0.47,0.64,2020-02-21,04:54,N,nominal,1.0NRT,288.9,11.9,N
9.22637,-64.06094,322.7,0.56,0.68,2020-02-21,04:54,N,nominal,1.0NRT,286.2,3.9,N
8.68547,-63.15326,301.8,0.47,0.64,2020-02-21,04:54,N,nominal,1.0NRT,288.2,5.5,N
9.27597,-64.04365,319.7,0.55,0.68,2020-02-21,04:54,N,nominal,1.0NRT,282.7,3.1,N
9.27662,-64.0488,328.2,0.55,0.68,2020-02-21,04:54,N,nominal,1.0NRT,282.9,3.1,N
8.64995,-62.78005,297.5,0.45,0.63,2020-02-21,04:54,N,nominal,1.0NRT,284,0.3,N
8.41354,-64.09998,300.4,0.54,0.68,2020-02-21,04:54,N,nominal,1.0NRT,287.3,0.8,N
8.52849,-64.07298,329.3,0.54,0.68,2020-02-21,04:54,N,nominal,1.0NRT,288.5,2.5,N
8.55657,-64.14133,312.3,0.55,0.68,2020-02-21,04:54,N,nominal,1.0NRT,288.2,3.4,N
8.55591,-64.13624,336,0.55,0.68,2020-02-21,04:54,N,nominal,1.0NRT,288.6,3.4,N
8.45873,-63.27541,300.5,0.48,0.65,2020-02-21,04:54,N,nominal,1.0NRT,287.6,0.5,N
8.68603,-63.15766,367,0.47,0.64,2020-02-21,04:54,N,high,1.0NRT,290.1,5.5,N
