latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
26.57763,101.66678,356.6,0.34,0.56,2020-09-01,05:42,N,nominal,2.0NRT,294.6,15.3,D
38.24572,101.79413,337.4,0.39,0.44,2020-09-01,05:42,N,nominal,2.0NRT,300.5,3.3,D
36.49905,101.81696,343.4,0.42,0.45,2020-09-01,05:42,N,nominal,2.0NRT,292.8,3.7,D
26.57675,101.66283,356,0.34,0.56,2020-09-01,05:42,N,nominal,2.0NRT,292.9,11.9,D
25.55352,100.61089,327.2,0.42,0.61,2020-09-01,05:42,N,nominal,2.0NRT,294.3,2,D
39.63086,98.56062,335.4,0.52,0.5,2020-09-01,05:42,N,nominal,2.0NRT,304.2,3.5,D
27.59576,95.3792,342.1,0.33,0.56,2020-09-01,07:18,N,nominal,2.0NRT,290.7,3.6,D
27.59606,95.38263,344.5,0.33,0.56,2020-09-01,07:18,N,nominal,2.0NRT,291.5,5.7,D
21.67396,72.53998,328.7,0.74,0.76,2020-09-01,07:18,N,nominal,2.0NRT,286.7,8.7,D
21.66866,72.53559,332.1,0.74,0.76,2020-09-01,07:18,N,nominal,2.0NRT,286.8,6,D
36.78539,82.99147,339.2,0.38,0.36,2020-09-01,07:24,N,low,2.0NRT,312.4,7.8,D
36.37059,94.95953,343.4,0.39,0.59,2020-09-01,07:24,N,nominal,2.0NRT,312.9,5.7,D
21.24817,56.3486,346.3,0.41,0.45,2020-09-01,09:00,N,nominal,2.0NRT,316.4,7,D
22.15871,56.02395,344.6,0.41,0.45,2020-09-01,09:00,N,low,2.0NRT,317.5,2.3,D
24.9093,66.70539,335.4,0.39,0.44,2020-09-01,09:00,N,nominal,2.0NRT,297.3,2.6,D
19.37504,56.15269,344.3,0.45,0.47,2020-09-01,09:00,N,nominal,2.0NRT,306.9,3.5,D
19.37586,56.15699,336,0.45,0.47,2020-09-01,09:00,N,low,2.0NRT,306.5,3.5,D
18.68629,55.50378,344.8,0.51,0.5,2020-09-01,09:00,N,nominal,2.0NRT,306.4,4.8,D
19.2665,56.17893,345.6,0.45,0.47,2020-09-01,09:00,N,nominal,2.0NRT,305.5,3.2,D
18.68724,55.50861,340.1,0.51,0.49,2020-09-01,09:00,N,nominal,2.0NRT,306.9,4.8,D
21.10735,72.64777,328.9,0.42,0.61,2020-09-01,09:00,N,nominal,2.0NRT,292.7,5.6,D
18.17099,55.2544,341.3,0.54,0.51,2020-09-01,09:00,N,nominal,2.0NRT,308.6,1.3,D
19.36995,71.3551,367,0.33,0.55,2020-09-01,09:00,N,high,2.0NRT,291.2,5.7,D
24.50425,56.60649,350.2,0.53,0.42,2020-09-01,09:00,N,nominal,2.0NRT,323.1,31.4,D
24.50798,54.01744,342.4,0.49,0.49,2020-09-01,09:00,N,nominal,2.0NRT,305.3,11.2,D
25.7028,54.30365,332.1,0.45,0.47,2020-09-01,09:00,N,low,2.0NRT,302.5,3.8,D
21.24743,56.34468,344.1,0.41,0.45,2020-09-01,09:00,N,low,2.0NRT,315.8,5,D
21.49193,56.30527,348.5,0.41,0.45,2020-09-01,09:00,N,nominal,2.0NRT,317.9,12.3,D
22.13752,56.06138,346,0.41,0.45,2020-09-01,09:00,N,nominal,2.0NRT,314.9,1.7,D
22.15947,56.02792,346.6,0.41,0.45,2020-09-01,09:00,N,low,2.0NRT,317.8,2.3,D
37.03474,62.41699,351.4,0.5,0.41,2020-09-01,09:06,N,nominal,2.0NRT,319.1,22.1,D
33.042,56.84932,343.2,0.41,0.37,2020-09-01,09:06,N,low,2.0NRT,316.6,5.4,D
34.82668,59.86604,335.9,0.39,0.37,2020-09-01,09:06,N,low,2.0NRT,310.2,2.2,D
36.55747,60.82542,338.6,0.43,0.38,2020-09-01,09:06,N,low,2.0NRT,312.5,4.9,D
37.03101,62.41764,346.6,0.5,0.41,2020-09-01,09:06,N,low,2.0NRT,319.5,15.4,D
37.42434,62.31437,338.3,0.49,0.41,2020-09-01,09:06,N,nominal,2.0NRT,311,3.3,D
37.42491,62.31209,338.8,0.49,0.41,2020-09-01,09:06,N,low,2.0NRT,310.4,2.4,D
37.61848,62.13863,342.9,0.49,0.4,2020-09-01,09:06,N,nominal,2.0NRT,313.8,3.7,D
37.61956,62.13605,343.4,0.49,0.4,2020-09-01,09:06,N,nominal,2.0NRT,313.5,2.9,D
36.9463,54.89086,338,0.43,0.38,2020-09-01,09:06,N,low,2.0NRT,309.3,5.2,D
37.69114,59.09719,349.3,0.4,0.37,2020-09-01,09:06,N,nominal,2.0NRT,313.8,3.7,D
37.86784,58.78988,339,0.39,0.36,2020-09-01,09:06,N,low,2.0NRT,311.7,5,D
38.61722,57.18689,350.5,0.38,0.36,2020-09-01,09:06,N,nominal,2.0NRT,308.7,4.6,D
38.29103,55.18618,349.5,0.41,0.37,2020-09-01,09:06,N,nominal,2.0NRT,315.6,13.2,D
38.6495,54.27887,340.5,0.43,0.38,2020-09-01,09:06,N,low,2.0NRT,315.3,9.4,D
38.68128,54.31529,344.6,0.42,0.38,2020-09-01,09:06,N,low,2.0NRT,316.4,2.4,D
39.35031,55.66049,337.1,0.39,0.36,2020-09-01,09:06,N,low,2.0NRT,310.4,3.2,D
