latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-11.9566,15.73869,300.3,0.37,0.58,2020-08-07,00:48,N,nominal,2.0NRT,282.9,0.5,N
-4.22382,18.4028,299.2,0.44,0.62,2020-08-07,00:48,N,nominal,2.0NRT,287.4,0.4,N
-4.21152,17.08277,329.3,0.35,0.57,2020-08-07,00:48,N,nominal,2.0NRT,288.4,1.9,N
-4.21202,17.08617,310.7,0.35,0.57,2020-08-07,00:48,N,nominal,2.0NRT,288.1,1.9,N
-4.67781,20.27179,297,0.59,0.7,2020-08-07,00:48,N,nominal,2.0NRT,286.1,1.5,N
-4.21629,17.07865,302,0.35,0.57,2020-08-07,00:48,N,nominal,2.0NRT,287.9,0.8,N
-4.21679,17.08201,301,0.35,0.57,2020-08-07,00:48,N,nominal,2.0NRT,288,0.7,N
-4.05739,15.42904,298.8,0.54,0.51,2020-08-07,00:48,N,nominal,2.0NRT,287.2,0.7,N
-4.26048,16.76164,305.6,0.34,0.56,2020-08-07,00:48,N,nominal,2.0NRT,287.7,1.4,N
-4.26094,16.76472,317.4,0.34,0.56,2020-08-07,00:48,N,nominal,2.0NRT,287.9,1.5,N
-4.00702,15.03024,298.2,0.51,0.49,2020-08-07,00:48,N,nominal,2.0NRT,286.9,0.9,N
-4.26473,16.75474,305.6,0.34,0.56,2020-08-07,00:48,N,nominal,2.0NRT,288,1.3,N
-4.26517,16.75767,310,0.34,0.56,2020-08-07,00:48,N,nominal,2.0NRT,287.9,0.9,N
-4.26897,16.74778,313.3,0.34,0.56,2020-08-07,00:48,N,nominal,2.0NRT,287.6,1.5,N
-4.2694,16.75071,313.2,0.34,0.56,2020-08-07,00:48,N,nominal,2.0NRT,287.4,1.3,N
-4.27365,16.74385,332,0.34,0.56,2020-08-07,00:48,N,nominal,2.0NRT,288.3,1.7,N
-4.27322,16.74098,307.9,0.34,0.56,2020-08-07,00:48,N,nominal,2.0NRT,287.8,1.6,N
-4.27408,16.74675,305,0.34,0.56,2020-08-07,00:48,N,nominal,2.0NRT,287.6,1.7,N
-4.2779,16.73708,315.3,0.34,0.56,2020-08-07,00:48,N,nominal,2.0NRT,287.7,1.6,N
-4.27834,16.73999,317,0.34,0.56,2020-08-07,00:48,N,nominal,2.0NRT,287.8,1.6,N
-4.28675,16.76096,315.5,0.34,0.56,2020-08-07,00:48,N,nominal,2.0NRT,288.2,1,N
-4.28726,16.76439,307.7,0.34,0.56,2020-08-07,00:48,N,nominal,2.0NRT,288.1,1,N
