latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
41.12296,-85.35311,300.1,0.42,0.61,2020-07-24,06:42,N,nominal,2.0NRT,289,0.7,N
31.75703,-83.36645,305.3,0.53,0.5,2020-07-24,06:42,N,nominal,2.0NRT,289.8,1.1,N
39.48041,-84.37887,317,0.36,0.57,2020-07-24,06:42,N,nominal,2.0NRT,291.1,1.2,N
39.48066,-84.38318,301.9,0.36,0.57,2020-07-24,06:42,N,nominal,2.0NRT,290.9,1.2,N
39.48478,-84.36115,302.6,0.36,0.57,2020-07-24,06:42,N,nominal,2.0NRT,291.5,1.1,N
39.48625,-84.38694,320.1,0.36,0.57,2020-07-24,06:42,N,nominal,2.0NRT,291.7,2.4,N
40.63332,-89.63802,314.1,0.69,0.75,2020-07-24,06:42,N,nominal,2.0NRT,288.7,1.6,N
40.63789,-89.64255,310,0.69,0.75,2020-07-24,06:42,N,nominal,2.0NRT,289.1,2.9,N
40.573,-83.13939,302.2,0.64,0.54,2020-07-24,06:42,N,nominal,2.0NRT,289.7,0.9,N
40.73643,-86.43729,307.9,0.47,0.64,2020-07-24,06:42,N,nominal,2.0NRT,289.4,1.1,N
41.17931,-87.86259,310.2,0.57,0.69,2020-07-24,06:42,N,nominal,2.0NRT,289.3,2.5,N
41.11725,-85.35357,302.7,0.42,0.61,2020-07-24,06:42,N,nominal,2.0NRT,288.6,0.6,N
41.67368,-87.43394,306.6,0.54,0.68,2020-07-24,06:42,N,nominal,2.0NRT,288.1,2.4,N
41.66848,-87.48847,300.8,0.54,0.68,2020-07-24,06:42,N,nominal,2.0NRT,290.7,2.3,N
41.66718,-87.42739,305.1,0.54,0.68,2020-07-24,06:42,N,nominal,2.0NRT,289.1,2.5,N
41.6419,-87.14346,304.5,0.52,0.67,2020-07-24,06:42,N,nominal,2.0NRT,290,1.5,N
41.64138,-87.40858,300.4,0.54,0.68,2020-07-24,06:42,N,nominal,2.0NRT,290,1.9,N
41.63564,-87.14368,304.5,0.52,0.67,2020-07-24,06:42,N,nominal,2.0NRT,290.6,2.2,N
41.63548,-87.13708,312,0.52,0.67,2020-07-24,06:42,N,nominal,2.0NRT,290.2,2.9,N
41.47078,-83.36857,316.3,0.33,0.55,2020-07-24,06:42,N,nominal,2.0NRT,288.6,1.8,N
41.46562,-83.36909,303.7,0.33,0.55,2020-07-24,06:42,N,nominal,2.0NRT,287.6,1.6,N
41.63969,-87.41309,299.5,0.54,0.68,2020-07-24,06:42,N,nominal,2.0NRT,289.1,1.5,N
41.61864,-87.33353,301.2,0.53,0.67,2020-07-24,06:42,N,nominal,2.0NRT,289.3,1.3,N
41.21878,-80.51244,307.3,0.47,0.48,2020-07-24,06:42,N,nominal,2.0NRT,290.1,1.6,N
41.46426,-90.68803,299.7,0.79,0.78,2020-07-24,06:42,N,nominal,2.0NRT,287,1.5,N
41.41536,-88.18909,303.2,0.59,0.7,2020-07-24,06:42,N,nominal,2.0NRT,290.9,1.8,N
40.86795,-81.11668,298.6,0.5,0.49,2020-07-24,06:42,N,nominal,2.0NRT,287.5,0.4,N
30.71619,-85.11506,304.7,0.33,0.55,2020-07-24,06:42,N,nominal,2.0NRT,288.4,0.4,N
30.71706,-85.12553,317.2,0.33,0.55,2020-07-24,06:42,N,nominal,2.0NRT,288.2,1.5,N
48.4247,-71.17245,299.6,0.39,0.36,2020-07-24,06:42,N,nominal,2.0NRT,287.2,0.6,N
48.25356,-79.02033,303.9,0.47,0.48,2020-07-24,06:42,N,nominal,2.0NRT,278.6,1.2,N
46.43116,-72.74695,298.2,0.41,0.37,2020-07-24,06:42,N,nominal,2.0NRT,287.1,0.2,N
46.04373,-73.14074,333,0.41,0.37,2020-07-24,06:42,N,nominal,2.0NRT,291.8,4.2,N
45.83823,-73.24877,306.6,0.41,0.37,2020-07-24,06:42,N,nominal,2.0NRT,291.2,1.2,N
45.78289,-73.91306,307.6,0.43,0.38,2020-07-24,06:42,N,nominal,2.0NRT,285.7,0.9,N
46.52795,-84.35979,298,0.41,0.6,2020-07-24,06:42,N,nominal,2.0NRT,285.3,0.5,N
46.52279,-84.37669,301.7,0.41,0.6,2020-07-24,06:42,N,nominal,2.0NRT,286.4,1.8,N
46.52262,-84.37112,296.1,0.41,0.6,2020-07-24,06:42,N,nominal,2.0NRT,285.9,1.1,N
46.51777,-84.39903,309.6,0.41,0.61,2020-07-24,06:42,N,nominal,2.0NRT,285,1.9,N
46.51762,-84.39361,296.7,0.41,0.61,2020-07-24,06:42,N,nominal,2.0NRT,284.4,1.3,N
46.53132,-84.35892,297.7,0.41,0.6,2020-07-24,06:42,N,nominal,2.0NRT,285.1,0.4,N
46.52078,-84.38171,301.3,0.41,0.6,2020-07-24,06:42,N,nominal,2.0NRT,284.8,1,N
46.5206,-84.37617,299,0.41,0.6,2020-07-24,06:42,N,nominal,2.0NRT,286.2,1.5,N
46.51569,-84.39848,313,0.41,0.61,2020-07-24,06:42,N,nominal,2.0NRT,285,2,N
45.34081,-73.52181,304.6,0.41,0.37,2020-07-24,06:42,N,nominal,2.0NRT,290.2,1.1,N
45.07327,-83.40602,333.6,0.36,0.57,2020-07-24,06:42,N,nominal,2.0NRT,293.7,3.2,N
45.0651,-84.82967,297.6,0.42,0.61,2020-07-24,06:42,N,nominal,2.0NRT,284.8,0.3,N
45.06453,-84.82906,298,0.42,0.61,2020-07-24,06:42,N,nominal,2.0NRT,284.7,0.2,N
44.16822,-76.8036,300.3,0.52,0.41,2020-07-24,06:42,N,nominal,2.0NRT,289.8,1,N
44.05567,-77.12141,307.8,0.53,0.42,2020-07-24,06:42,N,nominal,2.0NRT,290.8,2.1,N
43.86679,-79.50004,299.3,0.45,0.47,2020-07-24,06:42,N,nominal,2.0NRT,288.2,0.3,N
43.70387,-88.38854,298.2,0.62,0.71,2020-07-24,06:42,N,nominal,2.0NRT,286.4,0.9,N
43.27666,-79.79738,320.3,0.46,0.47,2020-07-24,06:42,N,nominal,2.0NRT,288.4,2.5,N
43.27229,-79.79802,338.4,0.46,0.47,2020-07-24,06:42,N,nominal,2.0NRT,288.5,8.4,N
42.95672,-76.57388,304.4,0.49,0.4,2020-07-24,06:42,N,nominal,2.0NRT,288.1,1.6,N
43.26453,-79.81083,307.6,0.46,0.47,2020-07-24,06:42,N,nominal,2.0NRT,289.8,2.2,N
