latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-2.91578,-40.85897,318.5,0.41,0.37,2020-09-14,03:54,N,nominal,2.0NRT,292,1.4,N
-2.99529,-40.55484,304,0.4,0.37,2020-09-14,03:54,N,nominal,2.0NRT,290.8,0.4,N
-7.65018,-49.69348,335.1,0.38,0.59,2020-09-14,04:00,N,nominal,2.0NRT,293.7,2,N
-7.45547,-50.79292,315.8,0.46,0.63,2020-09-14,04:00,N,nominal,2.0NRT,290.2,5.2,N
-7.65079,-49.68996,315.3,0.38,0.59,2020-09-14,04:00,N,nominal,2.0NRT,292,2,N
-7.65141,-49.68644,312.5,0.38,0.59,2020-09-14,04:00,N,nominal,2.0NRT,291.2,1.6,N
-8.08664,-47.22956,317.5,0.52,0.5,2020-09-14,04:00,N,nominal,2.0NRT,291.6,2.3,N
-8.09003,-47.10078,312.8,0.51,0.49,2020-09-14,04:00,N,nominal,2.0NRT,293.1,1.5,N
-8.09091,-47.09582,317.8,0.51,0.49,2020-09-14,04:00,N,nominal,2.0NRT,293.6,2,N
-8.09171,-47.09137,304.1,0.51,0.49,2020-09-14,04:00,N,nominal,2.0NRT,292.3,2,N
-7.39538,-50.94039,304.4,0.47,0.64,2020-09-14,04:00,N,nominal,2.0NRT,290.6,1.9,N
-7.62775,-49.69562,313.2,0.38,0.59,2020-09-14,04:00,N,nominal,2.0NRT,292.1,1.4,N
-7.62841,-49.69207,316.2,0.38,0.59,2020-09-14,04:00,N,nominal,2.0NRT,291.9,1.4,N
-8.08558,-47.23114,315.7,0.52,0.5,2020-09-14,04:00,N,nominal,2.0NRT,292.5,1.5,N
-7.64603,-49.68811,304.1,0.38,0.59,2020-09-14,04:00,N,nominal,2.0NRT,290.5,1.4,N
-8.09021,-47.23169,308.5,0.52,0.5,2020-09-14,04:00,N,nominal,2.0NRT,294.7,1.5,N
-8.09105,-47.22697,312.3,0.52,0.5,2020-09-14,04:00,N,nominal,2.0NRT,294.3,1.5,N
-7.44731,-50.79337,345.9,0.46,0.63,2020-09-14,04:00,N,nominal,2.0NRT,292.5,4.2,N
-7.65084,-49.6926,341.6,0.38,0.59,2020-09-14,04:00,N,nominal,2.0NRT,294.3,2.8,N
-7.44652,-50.79758,315,0.46,0.63,2020-09-14,04:00,N,nominal,2.0NRT,291.2,6.3,N
-7.44809,-50.78917,309.7,0.46,0.63,2020-09-14,04:00,N,nominal,2.0NRT,289.4,4.2,N
-7.65148,-49.6891,309.6,0.38,0.59,2020-09-14,04:00,N,nominal,2.0NRT,291.1,2.8,N
