latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-20.2475,-40.24821,304.9,0.71,0.75,2020-09-07,02:54,N,nominal,2.0NRT,290.9,2.7,N
-25.49213,-42.79239,308.8,0.76,0.77,2020-09-07,02:54,N,nominal,2.0NRT,286.3,2.3,N
-22.43273,-40.48459,349.4,0.66,0.73,2020-09-07,02:54,N,nominal,2.0NRT,292.9,8.7,N
-20.24059,-40.24624,319.3,0.71,0.75,2020-09-07,02:54,N,nominal,2.0NRT,291.7,2.7,N
-25.49428,-42.78464,306.8,0.76,0.77,2020-09-07,02:54,N,nominal,2.0NRT,286.3,2.3,N
8.01145,-56.99328,352.6,0.61,0.71,2020-09-07,04:24,N,nominal,2.0NRT,287.2,5,N
8.01218,-56.99897,315.1,0.61,0.71,2020-09-07,04:24,N,nominal,2.0NRT,287,9.4,N
8.01072,-56.9876,304.4,0.61,0.71,2020-09-07,04:24,N,nominal,2.0NRT,287.2,5,N
-6.85994,-50.98378,311.4,0.46,0.39,2020-09-07,04:30,N,nominal,2.0NRT,292.5,1.5,N
-10.19291,-61.97702,320.3,0.67,0.74,2020-09-07,04:30,N,nominal,2.0NRT,296.2,4.4,N
-10.18608,-61.97571,307,0.67,0.74,2020-09-07,04:30,N,nominal,2.0NRT,294,5.2,N
-11.56381,-54.58752,321.7,0.42,0.45,2020-09-07,04:30,N,nominal,2.0NRT,297.1,2.2,N
-10.18752,-61.96846,338.5,0.67,0.74,2020-09-07,04:30,N,nominal,2.0NRT,295.1,5.2,N
-11.55966,-54.5867,311.8,0.42,0.45,2020-09-07,04:30,N,nominal,2.0NRT,295.9,2.2,N
-11.39511,-55.51938,337.7,0.48,0.48,2020-09-07,04:30,N,nominal,2.0NRT,296.7,9.9,N
-11.39433,-55.52377,341.3,0.48,0.48,2020-09-07,04:30,N,nominal,2.0NRT,297.4,9.9,N
-11.39355,-55.52818,340.2,0.48,0.48,2020-09-07,04:30,N,nominal,2.0NRT,295.8,8.7,N
-11.39069,-55.51849,339.6,0.48,0.48,2020-09-07,04:30,N,nominal,2.0NRT,296.9,4,N
-11.55135,-54.58512,311.4,0.42,0.45,2020-09-07,04:30,N,nominal,2.0NRT,297.4,3.4,N
-11.38626,-55.5176,317.9,0.48,0.48,2020-09-07,04:30,N,nominal,2.0NRT,293.9,4,N
-11.38548,-55.52195,309.2,0.48,0.48,2020-09-07,04:30,N,nominal,2.0NRT,293.5,4,N
-11.57955,-54.37585,318.3,0.4,0.45,2020-09-07,04:30,N,nominal,2.0NRT,288.9,2.2,N
-11.5789,-54.37954,338.7,0.41,0.45,2020-09-07,04:30,N,nominal,2.0NRT,290.6,5.5,N
-11.35934,-55.5909,303.9,0.49,0.48,2020-09-07,04:30,N,nominal,2.0NRT,293.1,1.8,N
-11.35853,-55.59539,313.1,0.49,0.48,2020-09-07,04:30,N,nominal,2.0NRT,292,2.2,N
-11.35326,-55.59907,306.2,0.49,0.48,2020-09-07,04:30,N,nominal,2.0NRT,292,2.2,N
-11.35407,-55.59456,324.8,0.49,0.48,2020-09-07,04:30,N,nominal,2.0NRT,293.3,2.2,N
-11.35612,-55.55764,308.6,0.48,0.48,2020-09-07,04:30,N,nominal,2.0NRT,295.3,3,N
-11.3545,-55.56662,307.9,0.49,0.48,2020-09-07,04:30,N,nominal,2.0NRT,295.1,2.2,N
-11.34961,-55.59369,315.6,0.49,0.48,2020-09-07,04:30,N,nominal,2.0NRT,293.4,2.2,N
-11.3488,-55.59821,308.1,0.49,0.48,2020-09-07,04:30,N,nominal,2.0NRT,292.1,2.2,N
-11.34799,-55.60271,305.5,0.49,0.48,2020-09-07,04:30,N,nominal,2.0NRT,292,1.9,N
-11.34599,-55.58826,307.9,0.49,0.48,2020-09-07,04:30,N,nominal,2.0NRT,295.6,3.1,N
-11.33545,-55.59551,308.1,0.49,0.48,2020-09-07,04:30,N,nominal,2.0NRT,295,3.1,N
-11.31937,-55.23727,303.1,0.46,0.47,2020-09-07,04:30,N,nominal,2.0NRT,292.2,1.7,N
-11.30504,-55.29234,304.8,0.47,0.48,2020-09-07,04:30,N,nominal,2.0NRT,292.6,3,N
-11.28407,-55.40961,318.3,0.48,0.48,2020-09-07,04:30,N,nominal,2.0NRT,297,3.7,N
-11.31501,-55.23647,328.3,0.46,0.47,2020-09-07,04:30,N,nominal,2.0NRT,295.1,3.3,N
