latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-2.87261,-40.41196,310.6,0.4,0.37,2020-07-28,03:54,N,nominal,1.0NRT,292.1,1.2,N
-4.2246,-41.70874,328.3,0.43,0.38,2020-07-28,03:54,N,nominal,1.0NRT,291.7,2.9,N
-2.95075,-49.00168,336.6,0.42,0.61,2020-07-28,03:54,N,nominal,1.0NRT,292,2.6,N
-2.94511,-49.00074,316,0.42,0.61,2020-07-28,03:54,N,nominal,1.0NRT,291.9,2.6,N
-2.97082,-48.78241,308.8,0.4,0.6,2020-07-28,03:54,N,nominal,1.0NRT,292.1,1.3,N
-2.97145,-48.77868,320.5,0.4,0.6,2020-07-28,03:54,N,nominal,1.0NRT,292.1,1.3,N
-2.9482,-49.00092,345.8,0.42,0.61,2020-07-28,03:54,N,nominal,1.0NRT,293.1,4.3,N
-2.97291,-48.77827,312.1,0.4,0.6,2020-07-28,03:54,N,nominal,1.0NRT,291.7,0.9,N
-2.9723,-48.78201,309.4,0.4,0.6,2020-07-28,03:54,N,nominal,1.0NRT,291.4,0.9,N
-2.96736,-48.77737,302.2,0.4,0.6,2020-07-28,03:54,N,nominal,1.0NRT,291.2,0.9,N
-2.79491,-48.3513,305.4,0.38,0.59,2020-07-28,03:54,N,nominal,1.0NRT,291.6,1.6,N
-2.79435,-48.35471,336.3,0.38,0.59,2020-07-28,03:54,N,nominal,1.0NRT,294.2,3.8,N
-2.79046,-47.37431,303,0.32,0.55,2020-07-28,03:54,N,nominal,1.0NRT,290.3,0.3,N
-2.78539,-47.37352,315,0.32,0.55,2020-07-28,03:54,N,nominal,1.0NRT,293.1,0.9,N
-2.62246,-47.27991,302.2,0.32,0.55,2020-07-28,03:54,N,nominal,1.0NRT,291.3,0.6,N
-2.61742,-47.27904,315.8,0.32,0.55,2020-07-28,03:54,N,nominal,1.0NRT,291.7,1,N
-3.85478,-38.6069,314.5,0.39,0.36,2020-07-28,03:54,N,nominal,1.0NRT,292.8,1.1,N
-2.1653,-48.74944,308,0.41,0.61,2020-07-28,03:54,N,nominal,1.0NRT,292.4,1.3,N
-2.16469,-48.75317,315.8,0.41,0.61,2020-07-28,03:54,N,nominal,1.0NRT,293,2.2,N
-3.59484,-38.86108,331.8,0.39,0.36,2020-07-28,03:54,N,nominal,1.0NRT,295,3.4,N
-3.58211,-38.85555,309.4,0.39,0.36,2020-07-28,03:54,N,nominal,1.0NRT,293.7,1.6,N
-2.23239,-46.59274,314.4,0.59,0.53,2020-07-28,03:54,N,nominal,1.0NRT,291.5,1.4,N
-2.19326,-46.6191,312.1,0.59,0.53,2020-07-28,03:54,N,nominal,1.0NRT,292.3,2.9,N
